criterio,dimensao_roteiro,justificativa
desempenho_operacional,tecnica_operacional,"Corresponde a impacto operacional/desempenho, item da dimensao tecnica-operacional (roteiro, secao 19)."
informacao_dados,tecnica_operacional,"Dados/informacao subsidiam avaliacao de condicao e desempenho operacional, dimensao tecnica-operacional (roteiro, secao 19)."
custo,economica,"Custo generico mapeado a dimensao economica (roteiro, secao 19: custo inicial, de manutencao, de ciclo de vida)."
vida_util,tecnica_operacional,"Vida util/idade do ativo e item explicito da dimensao tecnica-operacional (roteiro, secao 19)."
energia,ambiental,"Energia e item explicito da dimensao ambiental (roteiro, secao 19)."
risco,tecnica_operacional,"Tratado como risco operacional/probabilidade de falha, dimensao tecnica-operacional (roteiro, secao 19). Ambiguidade possivel com risco juridico/administrativo (dimensao institucional); nao houve no resumo elemento textual suficiente para diferenciar, adotada leitura conservadora tecnico-operacional."
condicao_fisica,tecnica_operacional,"Condicao fisica e item explicito da dimensao tecnica-operacional (roteiro, secao 19)."
manutenibilidade,tecnica_operacional,"Mantenabilidade e item explicito da dimensao tecnica-operacional (roteiro, secao 19)."
conforto,social,"Conforto e item explicito da dimensao social (roteiro, secao 19)."
seguranca,social,"Seguranca dos usuarios e item explicito da dimensao social (roteiro, secao 19)."
emissoes_carbono,ambiental,"Emissoes e item explicito da dimensao ambiental (roteiro, secao 19)."
residuos,ambiental,"Residuos e item explicito da dimensao ambiental (roteiro, secao 19)."
satisfacao_usuario,social,"Percepcao dos usuarios e item explicito da dimensao social (roteiro, secao 19)."
qualidade_servico,tecnica_operacional,"Qualidade de servico tratada como desempenho operacional; nao ha item de 'qualidade' na lista da dimensao institucional do roteiro (secao 19), por isso mapeada a tecnica-operacional."
agua,ambiental,"Agua e item explicito da dimensao ambiental (roteiro, secao 19)."
