id_unico,doi,titulo,arquivo_local,ja_estava_no_lote_de_19,acesso
REG_00489,10.1108/IJLSS-09-2015-0035,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,aldairi2017.pdf (apenas local, nao versionado),nao,institucional_emerald
REG_00110,10.1061/(ASCE)CF.1943-5509.0001176,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,yoon2018.pdf (apenas local, nao versionado),nao,institucional_asce
REG_04052,10.3390/su11247181,Forecasting Repair Schedule for Building Components Based on Case-Based Reasoning and Fuzzy-AHP,park2019.pdf (apenas local, nao versionado),nao,open_access_mdpi
REG_00888,10.1016/j.proeng.2016.04.040,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,matthews2016.pdf (apenas local, nao versionado),nao,open_access_elsevier_ccbyncnd
REG_00852,10.1108/SS-02-2016-0007,Developing a green maintainability framework for green walls in Singapore,chew2016.pdf (apenas local, nao versionado),nao,preprint_emerald
REG_01046,10.1108/SASBE-08-2014-0043,Literature review of green retrofit design for commercial buildings with BIM implication,bu2015.pdf (apenas local, nao versionado),nao,institucional_emerald
REG_01657,10.1108/F-06-2012-0042,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,talib2013.pdf (apenas local, nao versionado),nao,institucional_emerald
REG_04122,10.1108/F-09-2018-0107,Green maintainability assessment of high-rise vertical greenery systems,conejos2019.pdf (apenas local, nao versionado),nao,institucional_emerald
REG_03230,10.1108/F-10-2019-0108,Improving lighting efficiency in existing art museums: a case study,hassanizadeh2020.pdf (apenas local, nao versionado),nao,open_access_emerald
REG_00415,10.1061/(ASCE)CO.1943-7862.0001348,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,zhao2017.pdf (apenas local, nao versionado),nao,institucional_asce
REG_00217,10.1108/F-03-2016-0028,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,tan2018.pdf (apenas local, nao versionado),nao,institucional_emerald
