id_unico,ano,bases_origem,doi,titulo,resumo,palavras_chave,estrato_uso_resumo,resumo_suficiente_para_extracao,rq0_integracao_sustentabilidade_decisao_manutencao,rq1_dimensoes_sustentabilidade,rq2_criterios_priorizacao,rq3_metodos_apoio_decisao,rq4_tipo_edificacao_contexto,rq5_lacunas_ies_publicas,n_rqs_respondidas,lista_rqs_respondidas,score_alinhamento_rq,uso_recomendado_artigo,justificativa_alinhamento_rq
REG_04218,2019,Scopus,10.3390/w11061169,Condition assessment of water infrastructures: Application to Segura River Basin (Spain),"The paper deals with the condition assessment of water management infrastructures such as storage facilities, water mains and water distribution facilities. The objective is to develop a methodology able to provide a fast, simple assessment of present asset condition, that can also be used for predicting future conditions under different investment scenarios. The authors investigate the use of different methodologies to assess condition with focus on simple, indirect condition indices based on maintenance records, such as Infrastructure Value Index (IVI) and Asset Sustainability Index (ASI). The novelty of the approach presented is the development of a methodology that combines an asset inventory together with maintenance data, that can be integrated hierarchically, delivering an assessment of condition of elements, assets and groups of assets in a bottom-up fashion. The methodology has been applied to a group of water management infrastructures of the Segura River Basin in Spain. The main conclusion is that the proposed methodology allows to assess assets' sustainability based upon past and current trends in operation and maintenance budgets, providing a baseline for planning future maintenance actions. © 2019 by the authors.",Asset condition; Asset inventory; Asset maintenance; Asset sustainability index; Infrastructure value index,A_nucleo_forte,sim,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,RQ0;RQ1;RQ2,10,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=TRUE; RQ3=FALSE; RQ4=FALSE; RQ5=FALSE; n_rqs=3; score=10; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_04939,2026,Scopus|WoS,10.1080/17452007.2026.2632103,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,"The implementation of artificial intelligence (AI) and machine learning (ML) in the architecture, engineering, and construction (AEC) domain has gained significant attention within academic research and construction technology companies. The scientific field often relies on information collected from the industry for theoretical development and sometimes test cases. However, to the best of the authors’ knowledge, there has been no systematic effort to compare academic and industry trends and developments. In this work, we examine the development and application of ML in the AEC domain from both academic and industry perspectives. To investigate both perspectives, we implement a mixed-methods approach including an academic literature review, a web-based mapping of construction technology companies worldwide, and an online questionnaire targeting practitioners and technology companies. Overall, our mixed methods analysis reveals a strong alignment between academic research and industry practice in targeting early design and post construction phases, with both communities prioritizing the application of ML for energy efficiency, facility management, and site safety, particularly within the context of Building Information Modeling (BIM). However, industry devotes more effort to sustainability, cost and scheduling solutions, whereas academia lags in these areas and often relies on limited or synthetic datasets. Finally, both sectors identify data availability and quality, particularly the scarcity of large, labeled, domain-specific repositories, as the primary barrier to wider ML adoption in the AEC industry. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",AEC industry; Artificial Intelligence (AI); Building Information Modeling (BIM); Data; Machine Learning (ML); Machine Learning (ML) Building Information Modeling (BIM) Data AEC industry Artificial Intelligence (AI) SCIENCE SCOPUS WEB,A_nucleo_forte,sim,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,5,RQ0;RQ1;RQ2;RQ3;RQ5,14,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=TRUE; RQ3=TRUE; RQ4=FALSE; RQ5=TRUE; n_rqs=5; score=14; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_05404,2025,Scopus|WoS,10.1108/ijbpa-04-2022-0060,Strategic planning of sustainable maintenance in heritage school buildings: Malaysia perspectives,"Purpose: Retrofitting and rehabilitation are part of the conservation approach in Heritage Building Conservation Guideline 2016 in Malaysia. Heritage buildings can be retrofitted to preserve their culture and history while being given a new lease. Rehabilitation is a preservation requirement that is more flexible since it assumes that the structure has already deteriorated to the point where repairs are required to prevent further deterioration. Although the strategies of these two approaches are different, their combination resulted in sustainable heritage building maintenance. This long-term maintenance strategy is necessary, especially for Malaysia's numerous heritage schools, which have serious maintenance problems as a result of infrequent maintenance, repairs, and funding shortages. Design/methodology/approach: This study involved secondary data from an intensive literature review along with a comparative study from articles review and context analysis. A comparative study was conducted to determine the typical issue with heritage school buildings and the best maintenance practice for these structures. Finally, it involved a SWOT analysis study of retrofitting and rehabilitating heritage school buildings will be discussed in this study as well. Findings: The findings of this study will focus on developing a strategic planning framework and maintenance for heritage school buildings in Malaysia to achieve sustainable maintenance. It will also highlight sustainable maintenance best practices for heritage school buildings in Malaysia. Finally, SWOT analysis will go over the pros and cons of retrofitting and rehabilitation for these buildings. Originality/value: This paper put forward the requirements of strategic planning in heritage school buildings and outlines the significance of sustainable maintenance for educational buildings. It is an alternative for cost savings that has not been extensively investigated in previous studies. © 2022, Emerald Publishing Limited.",Heritage school buildings; Maintenance plan; Rehabilitation; Retrofitting; Sustainability; Heritage school buildings Maintenance plan Sustainability Rehabilitation Retrofitting,A_nucleo_forte,sim,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,RQ0;RQ2;RQ4,10,analise_central,RQ0=TRUE; RQ1=FALSE; RQ2=TRUE; RQ3=FALSE; RQ4=TRUE; RQ5=FALSE; n_rqs=3; score=10; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_07264,2023,Scopus,10.1080/09613218.2023.2216795,Path dependencies and sustainable facilities management: a study of housing companies in Sweden,"Facilities management (FM) of housing stocks has great potential to contribute to sustainable development, but the transition to sustainable facilities management (SFM) is complex and slow. The purpose of this paper is to investigate the challenges of transitioning to SFM for housing companies in Sweden in relation to practical and technical innovations like digitalization. Using a path dependency framework, and drawing on semi-structured interviews with 23 FM professionals, the findings reveal many technologies and practices that housing companies can adopt to transition towards SFM. However, their institutionalized path-dependent behaviour means they are unwilling to change, tend to avoid uncertainty, and overemphasize the financial bottom line. These new innovative solutions also present challenges, such as a lack of established business models and poor value for money. This study contributes insight into what path dependencies need to be broken, what behaviours need to be changed, what structures must be created, and what skills and knowledge must be developed to increase SFM in the housing sector. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Digitalization; housing; institutional logics; path dependency; sustainable facilities management (SFM),A_nucleo_forte,sim,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,RQ0;RQ1;RQ4;RQ5,11,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=FALSE; RQ3=FALSE; RQ4=TRUE; RQ5=TRUE; n_rqs=4; score=11; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_09503,2012,WoS,10.1016/j.sbspro.2012.11.178,Developing post occupancy evaluation sustainability assessment framework for retrofitting commercial office buildings: A proposal,"Developing a new assessment tool in the area of sustainable development requires a strategic methodology for a cohesive and logical framework incorporating relevant theory and practical experience. This study is aimed to provide a Post Occupancy Evaluation (POE) sustainability assessment framework for retrofitting commercial office buildings in Malaysia. The design of sampling selects GBI certified office buildings and a non GBI certified commercial building, to obtain the building performance score then, conducting interviews with professionals to obtain feedback on environmental performance and determine the occupants' satisfaction level in certified GBI commercial office buildings and conventional; through questionnaire distribution. (C) 2012 Published by Elsevier Ltd.",Commercial buildings Facilities management Indicators Post occupancy evaluation Sustainability,A_nucleo_forte,sim,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,RQ0;RQ1;RQ4,9,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=FALSE; RQ3=FALSE; RQ4=TRUE; RQ5=FALSE; n_rqs=3; score=9; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_08052,2020,Scopus,10.1080/15732479.2019.1652657,Stochastic maintenance models for ceramic claddings,"Maintenance decision-making involves a series of multiple objectives, some of them contradictory. Usually, stakeholders intend to find the optimal maintenance strategy, to minimize the economic burden, while simultaneously maximizing the buildings’ performance. In this study, a condition-based maintenance model, based on Petri nets, is proposed to evaluate the consequences of alternative maintenance strategies to maintain and improve the performance of ceramic claddings. This maintenance model is a full life-cycle model that integrates the stochastic assessment of the degradation condition of the claddings, and also inspections, maintenance and renewal processes. Three maintenance strategies are considered: (i) major intervention only; (ii) combination of minor and major interventions; and (iii) combination of cleaning operations, minor and major interventions. The uncertainties associated with the degradation process, as well as with the definition of the effects of maintenance actions are considered by modelling the transitions times in Petri nets as random variables. Considering the complexity of Petri nets, the statistical descriptors of the performance of the assets (e.g., mean condition, probability of applying maintenance) were computed using Monte Carlo simulation. The impact of the different maintenance strategies in the claddings’ service life is discussed, comparing the different alternatives also from an economic point of view. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Ceramic claddings; degradation; inspections; interventions; maintenance modeling; Monte Carlo simulation; Petri nets,A_nucleo_forte,sim,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,RQ0;RQ1;RQ2;RQ3,12,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=TRUE; RQ3=TRUE; RQ4=FALSE; RQ5=FALSE; n_rqs=4; score=12; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_04163,2019,Scopus|WoS,10.3390/buildings9080182,LCC estimation model: A construction material perspective,"The growing pressure to ensure sustainable construction is also associated with stricter demands on the cost-effectiveness of construction and operation of buildings and reduction of their environmental impact. This paper presents a methodology for building life cycle cost estimation that enables investors to identify the optimum material solution for their buildings on the level of functional parts. The functionality of a comprehensive model that takes into account investor requirements and links them to a construction cost estimation database and a facility management database is verified through a case study of a ""façade composition"" functional part, with sublevel ""external thermal insulation composite system (ETICS) with thin plaster"". The results show that there is no generally applicable optimum ETICS material solution, which is caused by differing investor requirements, as well as the unique circumstances of each building and its user. The solution presented in this paper aims to aid investor decision-making regarding the choice of the building materials while taking the Life Cycle Cost (LCC) into account. © 2019 by the author.",Building; Construction material; Life cycle costs; Thermal insulation system; building construction material life cycle costs thermal insulation system LIFE-CYCLE COST DESIGN OPTIMIZATION INTEGRATION BUILDINGS ENERGY MAINTENANCE,A_nucleo_forte,sim,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,RQ0;RQ1;RQ2;RQ3,12,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=TRUE; RQ3=TRUE; RQ4=FALSE; RQ5=FALSE; n_rqs=4; score=12; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_02556,2022,Scopus|WoS,10.1016/j.scs.2022.103890,A spatio-temporal framework for sustainable planning of buildings based on carbon emissions at the city scale,"Buildings are key society element and essential in the formation of sustainable cities. Several studies focused on life cycle assessment of construction materials while limited research analyzed CO2 emissions associated with buildings. This research proposes a spatio-temporal framework to analyze CO2 emissions of buildings applied at the city scale to assist in planning and decision-making of buildings construction and operation. The embedded methods within the framework can identify locations of high-intensity CO2 emissions in a city and recommend retrofitting actions to resolve these hotspots. The framework analysis is applied to the city of Ajman in the United Arab Emirates that had witnessed major expansion. The findings indicate that the embodied carbon emissions equivalents (ECEE) for buildings construction had increased from 7,095 Kt to 9,064 Kt, and then to 12,680 Kt in the years 1986, 2005, and 2015, respectively, and the ECEE for buildings operation had increased from 1,389 Kt/year to 1,919 Kt/year, and then to 2,547 Kt/year in the years 1986, 2005, and 2015, respectively. The recommended retrofitting actions for Ajman developed through the analysis can reduce total CO2 emissions of buildings operation by 14%. Future work can consider additional sustainability indicators within the proposed framework. © 2022",Building construction; Building Operation; Building Retrofitting; CO<sub>2</sub> Emissions; Spatio-temporal; Sustainable city; CO 2 Emissions Sustainable city Spatio-temporal Building construction Building Operation Building Retrofitting LIFE-CYCLE ASSESSMENT GREENHOUSE-GAS EMISSIONS EMBODIED CARBON ENVIRONMENTAL IMPACTS RESIDENTIAL BUILDINGS CO2 EMISSIONS ENERGY CONSTRUCTION PERFORMANCE MITIGATION,A_nucleo_forte,sim,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,RQ0;RQ1;RQ3,10,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=FALSE; RQ3=TRUE; RQ4=FALSE; RQ5=FALSE; n_rqs=3; score=10; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_05358,2025,Scopus|WoS,10.1016/j.enbuild.2025.115590,Real long-term performance evaluation of an improved office building operation involving a Data-driven model predictive control,"Data-driven Model Predictive Control (DMPC) strategies, coupled with holistically optimized HVAC system control, represent a promising approach to achieve climate targets through significant reductions in building energy consumption and associated emissions. To validate this potential in a real-world environment, a comprehensive optimization study was conducted on an office building serving as a living laboratory. Through systematic analysis of historical operational data, multiple Energy Conservation Measures (ECMs) were identified and implemented. The cornerstone of these improvements was the development and deployment of a centralized adaptive DMPC system, which was operated and evaluated over a full year. The implemented system employs reduced-order state-space (resistance–capacitance) models for each building zone, complemented by simplified representations of storage tanks and heat pump dynamics. By integrating weather forecasting with a 24-hour prediction horizon into the control strategy, the DMPC simultaneously manages heating or cooling loads and shading blinds to optimize solar gain utilization. This integrated approach to controlling the primary heat fluxes enables advanced load shifting and peak shaving capabilities through automated management. The implementation yielded substantial technological advantages in HVAC operation: the DMPC algorithm's effective peak shaving significantly reduced maximum load requirements, enabling the complete elimination of the gas boiler. This reduction in peak demands made it possible for the heat pump to operate efficiently, maintaining full operational capabilities with just a small-sized ground source heat exchanger, instead of the conventional air source configuration. This demonstrates how the DMPC system successfully leveraged the building's demand-side flexibility potential, yielding improved operational economics and extended equipment service life. When compared to a baseline year of operation utilizing rule-based control for heating/cooling and partial automation of shading, these Energy Conservation Measures (ECMs), including the DMPC implementation, demonstrated remarkable energy savings. Following adjustment through the Measurement and Verification (M&V) framework, the analysis revealed that the DMPC alone achieved reductions of 41% in overall thermal energy consumption in the zones, comprising 17% in heating and 75% in cooling. The DMPC contributed 30% of the total thermal energy savings achieved across all implemented ECMs. Collectively, the ECMs resulted in a 54% reduction in total thermal energy consumption (38% heating, 80% cooling), while final energy consumption for heating and cooling decreased by 85%. These findings underscore the efficacy of DMPC in practical applications and its capacity to significantly advance building energy efficiency and sustainability objectives. The study demonstrates that integrating DMPC within holistic improvement strategies represents a viable approach to achieve both environmental targets and operational enhancements in the building sector. © 2025 The Author(s)",Data-driven model predictive control; Demand-side flexibility; External shading model; Glass facade model; Living laboratory experiment; Long term demonstration test; Optimal energy control; Reduced grey-box model; Thermally activated building structures; Data-driven model predictive control Reduced grey-box model Glass facade model External shading model Thermally activated building structures Living laboratory experiment Long term demonstration test Optimal energy control Demand-side flexibility ENERGY MANAGEMENT IMPLEMENTATION SYSTEMS MPC STRATEGY,A_nucleo_forte,sim,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,RQ2;RQ3;RQ4,9,analise_central,RQ0=FALSE; RQ1=FALSE; RQ2=TRUE; RQ3=TRUE; RQ4=TRUE; RQ5=FALSE; n_rqs=3; score=9; estrato_resumo=A_nucleo_forte; uso=analise_central
REG_06255,2024,Scopus,10.13374/j.issn2095-9389.2023.11.28.003,Research and application of carbon emission calculation methods for the whole life cycle of assembled steel structure office buildings,"To accurately assess the carbon emissions associated with assembled steel structure office buildings, this study develops a comprehensive life cycle carbon emission calculation. Utilizing advanced tools such as Autodesk Revit, Tekla Structures, and DeST-C, the model offers a detailed methodology for calculating emissions. This approach adheres to the guidelines set forth in the “Standard for the Calculation of Carbon Emission from Buildings” (GB/T 51366—2019). By applying this model to the Wuxi CEC PARK case study, the research quantifies the carbon footprint of such structures and compares these findings with those of assembled precast concrete structures and cast-in-place steel–concrete structures. The model encompasses all six stages of a building’s life cycle: material preparation and component production, logistics, operation and maintenance, renovation and reuse, and finally, dismantling and recycling. This comprehensive scope ensures that the model captures the carbon emissions linked to every aspect of “human, machine and material” interactions throughout the building’s life cycle. The accuracy of the calculation results is thus guaranteed. Specifically, the analysis highlights the carbon emission factors from steel structure components within the context of Wuxi CEC PARK. The results show that the average annual carbon emission intensity for the building is 59.47 kg·m−2·a−1. This figure is approximately 5.46 kg·m−2·a−1 and 13.59 kg·m−2·a−1 lower than that of the assembled PC structure and the cast-in-place steel–concrete structure, respectively. These results underscore the beneficial impact of assembled steel structures in reducing carbon emissions. The operation stage is the largest contributor to carbon emissions, accounting for 58.79% of the total. This is followed by carbon emissions from material preparation and component production, which represent 29.58%. The study finds a negative carbon emission value of −3295.27 t in the dismantling and reuse phase, indicating a significant reduction in emissions in this phase of the building’s life cycle. Additionally, the incorporation of renewable energy sources and plant carbon sinks into the building’s design further offsets carbon emissions, contributing an additional reduction of 389.33 t. The method proposed in this paper addresses the gap in existing methodologies for full life cycle carbon emission calculations for assembled steel structure office buildings. It provides a solid foundation for such buildings, promoting the adoption of assembled steel structure office buildings. It lays a foundational framework for assessing the carbon reduction potential of these structures, thereby facilitating their wider adoption within the construction industry. It provides a reference for future research on the prediction of carbon emissions for similar office buildings and advancing carbon reduction initiatives in the construction industry. © 2024 Science Press. All rights reserved.",assembled steel structure; carbon emission calculation model; carbon reduction; life cycle assessment; office buildings,A_nucleo_forte,sim,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,RQ0;RQ1;RQ4;RQ5,11,analise_central,RQ0=TRUE; RQ1=TRUE; RQ2=FALSE; RQ3=FALSE; RQ4=TRUE; RQ5=TRUE; n_rqs=4; score=11; estrato_resumo=A_nucleo_forte; uso=analise_central
