id_sensibilidade,database,string_id,titulo,doi,ano,n_registros_agrupados_sensibilidade,ids_sensibilidade_agrupados,classe,match_corpus_id,motivo_match,resumo,palavras_chave,autores,fonte_periodico,tipo_documento,url,citacoes,idioma,resumo_presente,termo_encontrado,campo_encontrado,evidencia_curta,classe_ia_ml,tecnica_ia_ml,tipo_aplicacao,relacao_manutencao_predial,relacao_sustentabilidade,relacao_apoio_decisao,contexto_publico_universitario,decisao_triagem,justificativa,nivel_confianca
SENS_SCOPUS_00000,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,The Rise of AI-Enabled Startups in Creating a Low-Carbon Built Environment,10.3390/buildings16030632,2026,2,SENS_SCOPUS_00000|SENS_WOS_art01_00724,NOVO_POR_DOI,,,"The accelerating climate emergency places the built environment under increasing pressure as both a major source of greenhouse gas emissions and a system highly vulnerable to climate impacts. Buildings contribute substantially to global operational energy use and embodied carbon, while much of the existing stock remains poorly adapted to changing climatic conditions. This paper examines the role of artificial intelligence (AI) in improving energy efficiency, enabling circular material flows, and enhancing resilience across the building lifecycle. Based on a structured synthesis of recent peer-reviewed literature, institutional reports, and documented case examples, the study maps AI applications in design, construction, operation, and end-of-life stages, including generative design, predictive maintenance, digital twins, and construction and demolition waste analytics. The analysis shows how AI can reduce operational energy demand, optimize material use, and support reuse and recycling strategies, while enabling new software-driven business models in the building sector. The paper argues that AI’s effectiveness depends on data availability, interoperability, regulatory alignment, and workforce capabilities, and that its benefits are maximized when integrated with circular economy strategies and supportive policy and financial frameworks. This integrated perspective highlights pathways for reducing emissions and improving the resilience of the built environment under climate stress. © 2026 by the author.",built environment; circular economy; climate emergency; generative AI; resilience; sustainability,Pacheco-Torgal F.,Buildings,Artigo de periodico,https://www.scopus.com/pages/publications/105030150701?origin=resultslist,0,English,sim,artificial intelligence; digital twin; generative ai; predictive maintenance,palavras_chave; resumo,"sting stock remains poorly adapted to changing climatic conditions. this paper examines the role of artificial intelligence (ai) in improving energy efficiency, enabling circular material flows, and e",IA_ML_APLICACAO_CONFIRMADA,artificial_intelligence,predicao,sim,sim,nao,nao_identificado,secundario,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: artificial_intelligence, generative_ai. Termos ambíguos: digital_twin, predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Bloco A (objeto predial) + termo tecnológico/conceitual presentes (critério original 'complementar'), sem Bloco B explícito, com IA/ML aplicada confirmada -- relação indireta com sustentabilidade.",alto
SENS_SCOPUS_00001,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI- and ML-driven intelligent design of digital twins,10.1016/B978-0-443-27388-9.00011-8,2026,1,SENS_SCOPUS_00001,NOVO_POR_DOI,,,"Digital twins (DTs), or virtual copies of real-world systems, have changed and improved many industries in terms of monitoring, analysis, and optimization in real time. Artificial intelligence (AI) and machine learning (ML) together have significantly enhanced the functionalities of DTs so that they become more efficient and versatile decision-making and process improvement tools. The production and application of DTs most importantly rely on AI and ML. Such technologies allow integration and analysis of very large amounts of data from various sources and provide an overview of the physical system. The personnel involved in the company may gain deeper insights into overall business processes and identify changes that would remain unknown when applying the traditional methods, based on the employment of the capabilities of AI-based integration and data analysis. An essential example of ML use cases in the framework of DTs is predictive maintenance. Any ML algorithm can resort to historical data and immediate sensor data to predict potential failures of application equipment and propose a repair schedule, significantly reducing operational downtime and refining the distribution of resources. The AI-powered optimization and simulation methods can give organizations the possibility to consider numerous scenarios and identify the most effective ways to resolve complex issues. The DTs are AI-enabled and can detect and decide on the fly, which allows them to react to changing conditions instantly and prevent some of the issues before they happen. In addition, AI-powered predictive analysis and risk management allow the firms to go a step ahead and address the potential problems in advance by developing effective risk reduction strategies. DTs are mainly constructed with AI and ML in various industries. In the context of manufacturing and Industry 4.0, DTs play an important role in optimizing production and increasing the quality control standards. Urban planners use the DTs to strategize building smart cities, while healthcare professionals use them for medical diagnosis and planning. In the aerospace and auto industries, DTs are beneficial in improving the product development, testing, and other maintenance processes. This chapter focuses on the smart creation of DTs with the help of AI and ML technology. The discussion will also dive into the complex mechanism behind building advanced, digital replicas of physical systems, particularly the support of the AI and ML in the advancement of their usefulness and precision. The chapter begins with the discussion of the role of data integration and analysis in the creation of a DT. This section shows how AI and ML algorithms facilitate the seamless combination of different sources of data into one and reach a much more dynamic and detailed similitude of the physical member. The chapter illustrates how these technologies can convert raw information into valuable information, which makes the DT capable of replicating the real-world situations and behaviors quite dramatically. Moreover, the chapter addresses the profound role of AI and ML in the optimization and simulation of DTs. We observe how these advanced technologies are able to give more precise predictions and process the decision-making and testing of even complex scenarios. The chapter focuses on how AI-enabled optimization methodologies and AI-based simulations driven by ML are broadening the opportunities of DTs, thus driving innovation in a number of verticals. © 2026 Elsevier Inc. All rights reserved.","Artificial intelligence; Data integration; Digital twins,; Machine learning,; Predictive maintenance",Manasa R.; Navya K.; Keshavamurthy R.; Madhura R.; Mahesh Kumar N.,Digital Twins for Sustainable Development,Livro ou serie de livro,https://www.scopus.com/pages/publications/105036915188?origin=resultslist,0,English,sim,algorithm; artificial intelligence; digital twin; machine learning; optimization; predictive maintenance; simulation,palavras_chave; resumo; titulo,"s in terms of monitoring, analysis, and optimization in real time. artificial intelligence (ai) and machine learning (ml) together have significantly enhanced the functionalities of dts so that they b",IA_ML_APLICACAO_CONFIRMADA,artificial_intelligence,predicao,sim,nao,sim,nao_identificado,excluido,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: artificial_intelligence, machine_learning. Termos ambíguos: algorithm_generic, digital_twin, optimization, predictive_maintenance, simulation. | Triagem (Bloco A/B + IA/ML): Critério original 'irrelevante' (nenhum bloco A/B/tecnológico/conceitual encontrado).",alto
SENS_SCOPUS_00003,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Towards Cognitive Buildings: Filling Technological Gap with Enabling Technologies,10.1007/978-3-032-06806-4_92,2026,2,SENS_SCOPUS_00003|SENS_WOS_art01_00731,NOVO_POR_DOI,,,"Future buildings aim to enhance residents’ quality of life while improving safety, security, efficiency, and sustainability. Integrating technologies like Industry 4.0, Internet of Things (IoT), Artificial Intelligence (AI), machine learning, and data analytics offers data-driven solutions for optimizing energy efficiency and predictive maintenance. Despite these advancements, a performance gap persists due to the dynamic nature of smart buildings and the influence of human behaviors and preferences, leading to discrepancies between projected and actual outcomes. Energy management sub-systems in buildings, such as lighting and HVAC systems, often operate inefficiently, especially when misaligned with occupant needs, such as heating empty or partially occupied spaces. Device operation flexibility (direct flexibility) presents significant potential for improving energy management, but this remains heavily reliant on effective information exchange between human occupants (indirect flexibility) and cognitive building (CB) interactive energy management systems. By incorporating hybrid digital twin modeling, advanced predictive and prescriptive analytics can be employed to track device behavior and provide customized feedback, creating a bidirectional information channel that enhances occupant engagement. This approach can improve overall building energy efficiency and reduce operational costs without compromising comfort. This study introduces a novel, user-centric cognitive system for energy efficiency, utilizing demand-side recommendations and thermal comfort controls via multi-agent reinforcement learning. Additionally, a conversational chatbot is explored to facilitate user engagement. The results demonstrate promising outcomes, including a 15.5% reduction in energy load, 69% user engagement, and up to 94% improvement in comfort levels. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Cognitive Buildings; Conversational Chatbot; Demand Side Recommendations; Hybrid Digital-twins; Occupant Comfort,Onile A.E.; Köse A.; Petlenkov E.; Belikov J.,Lecture Notes in Civil Engineering,Trabalho em evento,https://www.scopus.com/pages/publications/105023590989?origin=resultslist,1,English,sim,artificial intelligence; data-driven; digital twin; internet of things; iot; machine learning; predictive maintenance; reinforcement learning; smart building,resumo,"integrating technologies like industry 4.0, internet of things (iot), artificial intelligence (ai), machine learning, and data analytics offers data-driven solutions for optimizing energy efficiency a",IA_ML_APLICACAO_CONFIRMADA,artificial_intelligence,predicao,sim,sim,nao,nao_identificado,mapeamento,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: artificial_intelligence, machine_learning, reinforcement_learning. Termos ambíguos: data_driven, digital_twin, iot, predictive_maintenance, smart_building. | Triagem (Bloco A/B + IA/ML): Apenas um dos blocos A/B presente (critério original 'dúvida'), IA/ML confirmada -- inclusão apenas no mapeamento, sem elegibilidade plena ao núcleo/secundário.",alto
SENS_SCOPUS_00004,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Building the Human Remains Digital Library (HRDL)—The Editorial Steps behind Sourcing, Cleaning and Aligning a Cross-Discipline Multi-Lingual Thematic Resource",10.1145/3813803,2026,1,SENS_SCOPUS_00004,NOVO_POR_DOI,,,"The Human Remains Digital Library (HRDL), funded by a seven-year UKRI Future Leader’s Fellowship, is the first cross-disciplinary, multi-lingual thematic resource created to support researchers, heritage professionals and decision makers managing historic human remains encountered in British churches and cathedrals. It integrates for the first time curated excerpts from 7th- to 19th-century written accounts (whether real, embellished or imagined) with standardised summaries of modern archaeological evidence for historic exhumations, innovating both temporal–spatial analysis of burial (re-)locations and investigation of evolving ethical, emotional and theological notions of ‘respect’ for the dead. HRDL departs from manuscript-centric libraries by integrating multi-lingual textual excerpts and standardised archaeological summaries within a single thematic, cross-period corpus, enabling site- and genre-specific retrieval and analysis, advancing digital library practice through a combined workflow: discovery via concordance- and regex-driven multi-lingual search, bespoke re-OCR and cleaning pipelines, cross-period spelling normalisation, controlled vocabularies bridging historical text and archaeological terminologies and a CIDOC-CRM–aligned metadata ontology served through a user-centric Blazor interface. The resulting corpus (3,294 records at launch of over a million words, across multiple sub-corpora and languages, with new translations for previously inaccessible medieval sources) provides site-specific and period-specific evidence to support church building maintenance and (re-)burial policy while opening large-scale research questions previously impossible to address. This article outlines the editorial and technical rationale behind HRDL’s design and contributes a reproducible blueprint for building thematic, multi-lingual, cross-evidential digital libraries aimed at both academic analysis and applied knowledge exchange. © 2026 Copyright held by the owner/author(s).",church archaeology; digital content challenges; digital libraries; linked data; thematic builds; vocabulary standardisation,Nugent R.; Butler J.O.; Cahilly-Bretzin G.; Daubney A.; Farrow T.; Foster K.; Gribomont I.; Hopwood L.,Journal on Computing and Cultural Heritage,Artigo de periodico,https://www.scopus.com/pages/publications/105043799219?origin=resultslist,0,English,sim,ontology,resumo,"bularies bridging historical text and archaeological terminologies and a cidoc-crm–aligned metadata ontology served through a user-centric blazor interface. the resulting corpus (3,294 records at laun",TECNICA_COMPATIVEL_MAS_NAO_CONFIRMADA,ontology,nao_aplicavel,sim,nao,nao,nao_identificado,excluido,Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: nenhum. Termos ambíguos: ontology. | Triagem (Bloco A/B + IA/ML): Apenas um dos blocos A/B presente e classe IA/ML não confirmada.,medio
SENS_SCOPUS_00005,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Towards an Intelligent Aircraft Surface Inspection System: Image-Based Recognition and Classification of Structural Defects,10.1051/e3sconf/202669801001,2026,1,SENS_SCOPUS_00005,NOVO_POR_DOI,,,"With the growth and modernisation of the air transport sector and the aviation industry, ensuring the structural integrity of aircraft has become paramount for maintaining aviation safety, minimising unexpected downtime, and adhering to regulatory standards. Surface anomalies, such as corrosion, cracks, and paint degradation, can significantly affect an aircraft's airworthiness. This study proposes a detailed analysis of various surface defects, classified by type, affected area, and material, to develop a consistent Classification Catalogue. This catalogue will serve as the foundation for creating a structured findings database using Roboflow, which will be employed to train models for the automatic detection and classification of aircraft surface defects using advanced image processing and machine learning techniques, with a particular focus on convolutional neural networks (CNNs). The key innovation of this research lies in the development of a validated image dataset structured around a comprehensive and standardised Defect Classification Catalogue. This catalogue has been compiled through a rigorous review of scientific literature and industrial standards, ensuring terminological consistency, improving annotation accuracy, and facilitating effective model training. A methodological pipeline is introduced, which includes: 1) Image acquisition from open-source databases, industrial archives, and controlled field inspections, 2)Data augmentation techniques (e.g., rotation, noise injection, and cropping) to improve model generalisability, 3) Manual annotation guided by the established catalogue, and 4) Expert validation to ensure the precision and completeness of annotations. To support defect traceability and facilitate integration into predictive maintenance workflows, a centralised platform, the Aircraft Inspection Repository (AIR), has been developed. AIR enhances accessibility, supports interactive data visualisation, and provides access to inspection data along with their corresponding reports, thereby promoting dynamic decision-making and long-term structural monitoring. © The Authors, published by EDP Sciences.",,Chabne S.; Mesbahi O.; Santos N.P.; Tlemcani M.; de Saude J.L.,E3S Web of Conferences,Trabalho em evento,https://www.scopus.com/pages/publications/105033688429?origin=resultslist,0,English,sim,convolutional neural network; machine learning; neural network; predictive maintenance,resumo,"omatic detection and classification of aircraft surface defects using advanced image processing and machine learning techniques, with a particular focus on convolutional neural networks (cnns). the ke",IA_ML_APLICACAO_CONFIRMADA,cnn,predicao,sim,nao,sim,nao_identificado,excluido,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: cnn, machine_learning, neural_network. Termos ambíguos: predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Critério original 'irrelevante' (nenhum bloco A/B/tecnológico/conceitual encontrado).",alto
SENS_SCOPUS_00006,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A cost-sensitive transformer model for prognostics under highly imbalanced industrial data,10.1007/s10586-026-06080-2,2026,2,SENS_SCOPUS_00006|SENS_WOS_art01_00397,NOVO_POR_DOI,,,"The rapid influx of data-driven models into the industrial sector has been facilitated by the proliferation of sensor technology, enabling the collection of vast quantities of data. However, leveraging these models for failure detection and prognosis poses significant challenges, including issues like missing values and class imbalances. Moreover, the cost sensitivity associated with industrial operations further complicates the application of conventional models in this context. This paper introduces a novel cost-sensitive transformer model developed as part of a systematic workflow, which also integrates a hybrid resampler and a regression-based imputer. After subjecting our approach to rigorous testing using the air pressure system failure dataset from Scania trucks and the semiconductor manufacturing dataset, we observed a substantial enhancement in performance compared to state-of-the-art methods. Moreover, we conduct an ablation study to analyze the contributions of different components in our proposed method. Our findings highlight the potential of our method in addressing the unique challenges of failure prediction in industrial settings, thereby contributing to enhanced reliability and efficiency in industrial operations. © The Author(s) 2026.",Air Pressure System Failure Prediction; Focal Loss; Predictive Maintenance; Prognostics and Health Management; Repeated Edited Nearest Neighbor; Support Vector Machine-Synthetic Minority Over-sampling Technique; Transformer,Beikmohammadi A.; Hamian M.H.; Khoeyniha N.; Lindgren T.; Steinert O.; Magnússon S.,Cluster Computing,Artigo de periodico,https://www.scopus.com/pages/publications/105041894664?origin=resultslist,0,English,sim,data-driven; predictive maintenance; support vector machine; transformer,palavras_chave; resumo; titulo, loss; predictive maintenance; prognostics and health management; repeated edited nearest neighbor; support vector machine-synthetic minority over-sampling technique; transformer,IA_ML_APLICACAO_CONFIRMADA,svm,predicao,sim,nao,nao,nao_identificado,excluido,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: svm, transformer. Termos ambíguos: data_driven, predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Critério original 'irrelevante' (nenhum bloco A/B/tecnológico/conceitual encontrado).",alto
SENS_SCOPUS_00007,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI for Building Energy Management: Challenges and Opportunities,,2026,1,SENS_SCOPUS_00007,NOVO_POR_TITULO,,,"As global focus intensifies on reducing emissions and improving energy efficiency, buildings have emerged as critical targets due to their significant share of energy consumption and carbon output. This article explores how artificial intelligence (AI) is revolutionizing building energy management by addressing inefficiencies, enhancing automation, and supporting sustainability goals. AI-powered Energy Management Systems (EMS), when combined with IoT devices, digital twins, and clean technologies like solar PV and battery energy storage systems, allow real-time monitoring, predictive maintenance, and intelligent control. These solutions optimize HVAC systems, lighting, load distribution, and occupant comfort while significantly reducing operational costs and energy waste. Despite challenges such as aging infrastructure, data fragmentation, and emerging cybersecurity concerns, the opportunities for improvement remain substantial. Real-world applications demonstrate how AI supports smarter heating, ventilation, and air conditioning (HVAC) and lighting systems, demand response, predictive maintenance, digital twin and smart energy management with solar photovoltaic (PV) and Battery Energy Storage System (BESS), contributing to energy savings and cost reduction. AI stands as a key enabler in the shift toward resilient, adaptive, and low-carbon buildings that meet both current demands and long-term climate objectives. The article also discusses how policy support, new business models, and collaboration between stakeholders are helping accelerate adoption. AI is increasingly recognized not just as a technological upgrade but as a catalyst for creating low-carbon, resilient buildings prepared for future demands. The text only may be used under licence CC BY 4.0. All other elements (illustrations, imported files) may be subject to specific use terms. https://creativecommons.org/licenses/by/4.0/",,Dahlan N.Y.; Mahmud N.A.,Field Actions Science Report,Artigo de periodico,https://www.scopus.com/pages/publications/105042176688?origin=resultslist,0,English,sim,artificial intelligence; digital twin; iot; predictive maintenance,resumo,s due to their significant share of energy consumption and carbon output. this article explores how artificial intelligence (ai) is revolutionizing building energy management by addressing inefficienc,IA_ML_APLICACAO_CONFIRMADA,artificial_intelligence,predicao,sim,sim,nao,nao_identificado,mapeamento,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: artificial_intelligence. Termos ambíguos: digital_twin, iot, predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Apenas um dos blocos A/B presente (critério original 'dúvida'), IA/ML confirmada -- inclusão apenas no mapeamento, sem elegibilidade plena ao núcleo/secundário.",alto
SENS_SCOPUS_00008,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,An Adversarial Robustness Enhancement Framework for Industrial Fault Diagnosis System With Spectral and Data Imbalance Awareness,10.1109/TSMC.2026.3659658,2026,2,SENS_SCOPUS_00008|SENS_WOS_art01_00277,NOVO_POR_DOI,,,"Cyber-physical systems (CPSs), which integrate sensing, computation, and control, are widely deployed in safety-critical applications such as industrial monitoring and predictive maintenance. Industrial fault diagnosis systems (IFDSs), as a representative CPS, enable intelligent health monitoring but are increasingly vulnerable to stealthy adversarial attacks - carefully crafted input perturbations that mislead models while remaining imperceptible. These attacks compromise system safety, highlighting the urgent need for learning-based security control in CPS. This article proposes multilayered noisy mixup (MLNM)-frequency shift (FrSh), a theoretically grounded adversarial defense framework for IFDS under real-world conditions involving nonstationary signals and class imbalance. The framework integrates two components: multilayered noisy mixup (MLNM) and frequency shift (FrSh). MLNM injects structured additive and multiplicative noise during training and is theoretically proven to introduce first- and second-order regularization terms in the loss function, enhancing generalization and gradient stability. FrSh performs spectrum-aware transformations that preserve conjugate symmetry and spectral integrity, with formal guarantees of aliasing-free, reversible frequency mapping, facilitating effective learning of high-frequency diagnostic features. Extensive experiments on benchmark datasets demonstrate that MLNM-FrSh significantly improves adversarial robustness and standard accuracy compared to state-of-the-art baselines. This work contributes a reliable and theoretically principled solution for attack-resilient fault diagnosis, advancing the broader goal of intelligent security control in CPS.  © 2013 IEEE.",Adversarial defense; adversarial robustness; fault diagnosis; imbalanced data,Zhao J.; Li N.,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Artigo de periodico,https://www.scopus.com/pages/publications/105031943993?origin=resultslist,1,English,sim,fault diagnosis; predictive maintenance,palavras_chave; resumo; titulo," and control, are widely deployed in safety-critical applications such as industrial monitoring and predictive maintenance. industrial fault diagnosis systems (ifdss), as a representative cps, enable ",MANUTENCAO_PREDITIVA_SEM_IA_COMPROVADA,fault_diagnosis,nao_aplicavel,sim,nao,nao,nao_identificado,excluido,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: nenhum. Termos ambíguos: fault_diagnosis, predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Critério original 'irrelevante' (nenhum bloco A/B/tecnológico/conceitual encontrado).",medio
SENS_SCOPUS_00009,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Integrating Large Language Models and Blockchain Technology for Digital Transformation in the Oil and Gas Industry: Enhancing Efficiency and Transparency in Operations,10.4018/979-8-3373-5457-6.ch006,2026,1,SENS_SCOPUS_00009,NOVO_POR_DOI,,,"Growing operational complexity, ageing infrastructure, and rising demands for efficiency and sustainability are all contributing factors to the oil and gas industry's current dramatic transformation. To improve operations in offshore facilities, this chapter investigates the combination of two innovative digital technologies: blockchain and large language models (LLMs). LLMs offer sophisticated features for handling unstructured technical data, automating documentation, enhancing decision-making, and assisting with predictive maintenance. Blockchain guarantees trust, transparency, and safe, decentralised data management throughout the value chain. Applications like smart contract automation, secure data exchange, real-time compliance, andintelligentassetmonitoring are made possible by these technologies working together. The chapter also discusses issues with workforce development, data quality assurance, integration, and compatibility with legacy systems. Copyright © 2026 by IGI Global Scientific Publishing.",,Abdullahi S.; Ullah F.; Ashraf T.C.; Yahaya M.S.; Danyaro K.U.; Zayyad M.A.; Shaikh M.U.R.,AI and Blockchain Applications in the Oil and Gas Industry,Livro ou serie de livro,https://www.scopus.com/pages/publications/105036145908?origin=resultslist,0,English,sim,large language model; llms; predictive maintenance,resumo; titulo,integrating large language models and blockchain technology for digital transformation in the oil and gas indust,IA_ML_APLICACAO_CONFIRMADA,llm,predicao,sim,sim,sim,nao_identificado,mapeamento,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: llm. Termos ambíguos: predictive_maintenance. | Triagem (Bloco A/B + IA/ML): Apenas um dos blocos A/B presente (critério original 'dúvida'), IA/ML confirmada -- inclusão apenas no mapeamento, sem elegibilidade plena ao núcleo/secundário.",alto
SENS_SCOPUS_00010,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,From instance segmentation to physical quantification: High-resolution UAV-based dataset for façade defect assessment,10.1016/j.autcon.2026.106980,2026,2,SENS_SCOPUS_00010|SENS_WOS_art02_00382,NOVO_POR_DOI,,,"High-rise building façade inspection is essential but hazardous and labor-intensive. Although UAV imaging and defect segmentation methods can recognize defects, most studies stop at 2D masks and lack the scale and instance structure needed for grade quantification. Public façade datasets remain scarce, often low-resolution, crack-only, and annotated for semantic segmentation. This paper introduces CUBIT-InSeg, a high-resolution UAV building façade defect instance segmentation dataset. It contains 6996 images at 4800 × 3200 with 62,187 annotated instances of two safety-critical defects, cracks and spalling, in realistic multi-instance scenes. Over 80 models were benchmarked under a unified protocol, and transferability was assessed via zero-shot testing on two cross-domain datasets. A deployment workflow was further demonstrated that registers defects to an as-is digital twin and converts segmentation masks into metric measures (e.g., crack width/length, spalling area) for standard-aligned severity evaluation. In real-world validation, the workflow based on CUBIT-InSeg dataset enables reproducible research toward scalable, quantitative façade condition assessment. © 2026 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license. http://creativecommons.org/licenses/by-nc-nd/4.0/",Building inspection; Deep learning; Defect assessment; Defect dataset; Defect segmentation; Instance segmentation; Unmanned aerial vehicle,Zhao B.; Zhang J.; Huang Y.; Chen X.; Chen B.M.,Automation in Construction,Artigo de periodico,https://www.scopus.com/pages/publications/105036817876?origin=resultslist,0,English,sim,deep learning; digital twin,palavras_chave; resumo,der the cc by-nc-nd license. http://creativecommons.org/licenses/by-nc-nd/4.0/ building inspection; deep learning; defect assessment; defect dataset; defect segmentation; instance segmentation; unmann,IA_ML_APLICACAO_CONFIRMADA,deep_learning,visao_computacional,nao,nao,nao,nao_identificado,secundario,"Classificação automática por correspondência de termos do dicionário RQ6 (docs/CODEBOOK_SENSIBILIDADE_IA_ML.md) aplicada a título/resumo/palavras-chave. Termos de nível confirma: deep_learning. Termos ambíguos: digital_twin. | Triagem (Bloco A/B + IA/ML): Bloco A (objeto predial) + termo tecnológico/conceitual presentes (critério original 'complementar'), sem Bloco B explícito, com IA/ML aplicada confirmada -- relação indireta com sustentabilidade.",alto
