id_unico,doi,funcao_analitica_predominante,tecnica_computacional,contexto,variavel_ou_objeto,base_documental,integracao_com_decisao,limite_verificado
REG_02383,10.1109/icnc.2010.5583722,previsao,"regressao multipla; rede neural de retropropagacao",universidade,"custos e orcamento de manutencao",titulo_resumo,"previsao para planejamento orcamentario","texto integral nao verificado"
REG_07814,10.1007/978-3-642-28314-7_29,previsao,rede neural de retropropagacao,universidade,"custos de manutencao; custo do ciclo de vida",titulo_resumo,"previsao para planejamento de custos","capitulo com acesso restrito"
REG_07815,10.3130/jaabe.11.87,previsao,rede neural de retropropagacao,universidade,"custos e orcamento no ciclo de vida",titulo_resumo,"previsao para planejamento de custos","texto integral nao verificado"
REG_05418,10.3390/su17094140,previsao_otimizacao,"extreme learning machine; recozimento simulado",edificio_comercial,"ocupacao; demanda de ventilacao; energia",texto_integral,"saida aciona controle operacional de ventilacao","validacao em tres edificios; transferencia institucional nao demonstrada"
REG_06840,10.1109/ispa63168.2024.00294,previsao,"rede neural profunda; gemeo digital",edificio_generico,"conforto termico; ambiente interno",titulo_resumo,"previsao associada ao sistema de gestao predial","metricas e validacao integral nao verificadas"
REG_09883,10.1007/978-981-95-2345-0_23,diagnostico_classificacao,"rede neural convolucional; perceptron multicamada",edificio_residencial,"danos em parede externa",titulo_resumo,"classificacao vinculada a sugestao de manutencao","metricas e regras de decisao nao verificadas integralmente"
REG_10348,10.3390/su18010541,sintese_integracao,"gemeo digital; BIM; IA",edificio_generico,"energia; desempenho; manutencao preditiva",texto_integral,"infraestrutura informacional para monitoramento e recomendacao","revisao exploratoria; barreiras de interoperabilidade e governanca"
REG_10391,10.3390/su172210313,sintese_integracao,"IoT; IA; AIoT",edificio_generico,"energia; conforto; manutencao preditiva",texto_integral,"estrutura conceitual para decisao estrategica","sem dados empiricos proprios; vies para o Norte Global"
REG_10862,10.1088/1755-1315/1554/1/012036,previsao,"GCN; GraphSAGE; GAT",edificio_generico,"vida util de componentes do envelope",texto_integral,"estimativa alimenta manutencao preditiva e potencial de reuso","GCN com R2 de 0.83; generalizacao externa nao demonstrada"
REG_11003,10.1061/JPCFEV.CFENG-4572,previsao,"random forest; logica fuzzy",patrimonio_historico,"vida util; risco; condicao",titulo_resumo,"previsao declarada como apoio a decisao","amostra e metricas nao verificadas integralmente"
REG_11158,10.1109/ICTAS64866.2025.11155679,sintese_integracao,"IoT; IA",edificio_generico,"sistemas eletricos legados; energia",titulo_resumo,"integracao estrategica e manutencao preditiva","aplicacao e validacao nao verificadas integralmente"
REG_11346,10.1016/j.csite.2024.104867,previsao_otimizacao,"IoT; modelo preditivo por aprendizado profundo",patrimonio_historico,"energia; ocupacao; conforto",titulo_resumo,"monitoramento e otimizacao operacional","editor declara acesso aberto; integral nao recuperado nesta etapa"
REG_11489,10.1016/j.aei.2022.101767,diagnostico_classificacao,rede de capsulas,edificio_generico,"anomalias termicas no envelope",titulo_resumo,"diagnostico informa retrofit e manutencao","metricas e validacao integral nao verificadas"
REG_11552,10.1016/j.conbuildmat.2023.133753,previsao,"modelos e conjuntos de aprendizado de maquina",edificio_residencial,"comportamento mecanico de concreto deteriorado",titulo_resumo,"previsao informa programacao de manutencao","dados e transferencia ao edificio nao verificados integralmente"
REG_12351,10.3390/en5114497,previsao,perceptron multicamada,edificio_residencial,"eletricidade; gas; agua",texto_integral,"estimativas apoiam planejamento e gestao de facilidades","30 complexos; oito fatores; MAPE distinto por variavel"
REG_12451,10.1108/IJBPA-02-2026-0060,sintese_integracao,"UAV; visao computacional; BIM; gemeo digital; IA",edificio_generico,"condicao predial; seguranca; patologia",texto_integral,"caminho causal conceitual para manutencao proativa","revisao de 33 estudos; nao e ensaio operacional unico"
REG_12511,10.3389/frsus.2026.1751337,sintese_integracao,"IoT; IA",edificio_generico,"energia; conforto; sustentabilidade",texto_integral,"recomendacoes multissetoriais para integracao","76 estudos heterogeneos; 46.05 por cento omitem ao menos uma dimensao"
