id_unico,titulo,ano,criterio,dimensao_roteiro
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,custo,economica
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,risco,tecnica_operacional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,vida_util,tecnica_operacional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,desempenho_operacional,tecnica_operacional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,informacao_dados,tecnica_operacional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,qualidade_servico,tecnica_operacional
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,vida_util,tecnica_operacional
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,desempenho_operacional,tecnica_operacional
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,informacao_dados,tecnica_operacional
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,desempenho_operacional,tecnica_operacional
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,informacao_dados,tecnica_operacional
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,energia,ambiental
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,desempenho_operacional,tecnica_operacional
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,informacao_dados,tecnica_operacional
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,informacao_dados,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,condicao_fisica,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,energia,ambiental
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,vida_util,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,desempenho_operacional,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,informacao_dados,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,manutenibilidade,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,risco,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,condicao_fisica,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,energia,ambiental
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,vida_util,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,desempenho_operacional,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,emissoes_carbono,ambiental
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,energia,ambiental
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,vida_util,tecnica_operacional
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,desempenho_operacional,tecnica_operacional
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,informacao_dados,tecnica_operacional
REG_01104,Building information modeling for indoor environmental performance analysis,2015,custo,economica
REG_01104,Building information modeling for indoor environmental performance analysis,2015,conforto,social
REG_01104,Building information modeling for indoor environmental performance analysis,2015,desempenho_operacional,tecnica_operacional
REG_01104,Building information modeling for indoor environmental performance analysis,2015,informacao_dados,tecnica_operacional
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,custo,economica
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,vida_util,tecnica_operacional
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,desempenho_operacional,tecnica_operacional
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,risco,tecnica_operacional
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,condicao_fisica,tecnica_operacional
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,desempenho_operacional,tecnica_operacional
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,informacao_dados,tecnica_operacional
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,desempenho_operacional,tecnica_operacional
REG_02069,Outsourcing in facilities management - A literature review,2011,custo,economica
REG_02069,Outsourcing in facilities management - A literature review,2011,vida_util,tecnica_operacional
REG_02069,Outsourcing in facilities management - A literature review,2011,desempenho_operacional,tecnica_operacional
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,custo,economica
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,risco,tecnica_operacional
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,energia,ambiental
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,vida_util,tecnica_operacional
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,desempenho_operacional,tecnica_operacional
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,emissoes_carbono,ambiental
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,energia,ambiental
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,conforto,social
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,desempenho_operacional,tecnica_operacional
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,informacao_dados,tecnica_operacional
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,energia,ambiental
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,conforto,social
