id_unico,estrato,classe_pre_triagem,titulo,resumo,bloco_a_presente,bloco_b_presente,bloco_c_presente,bloco_d_presente
REG_03867,relevante,relevante,Contribution of Facilities Management Towards Hotel Sustainability,"This paper is formulated in response to the need to understand the concept of facilities management practice and the growing importance given to sustainability issues in hotels. It aims to present the main contribution of facilities management in the operation, management and maintenance of sustainable hotels. It expounds the role of facilities management in a hotel facility and how it relates to the three-dimensional concept of sustainability that focuses on environmental, economic and social equity issues. The integration of the different facets of facilities management to the triple bottom ",sim,sim,nao,sim
REG_07158,relevante,relevante,Digital twin with Machine learning for predictive monitoring of CO2 equivalent from existing buildings,"The revolution of the industry 4.0 presents a new era of digital transformation for the construction industry, advancing towards the concept of digital twins, while on the other hand it faces the global challenge of reducing carbon emissions from operational assets. The current research gap in the application of digital twins for achieving net zero were reviewed in this study, highlighting its potentials for enhancement in the built environment, and emphasizing the need for demonstration of a use-case analysis for its adoption by the industry. This research presents a digital twin solution to ",sim,sim,nao,nao
REG_00001,relevante,relevante,Balancing stakeholder expectations in sustainability management: The rinker center project at Stetson University,"The Marshall and Vera Lea Rinker Welcome Center is a US$7.634 million budgeted new building that was opened in August 2016 to house various administrative and student-related functions at Stetson University in Florida. Al Allen, the University's Vice President of Facilities Management, was the point person entrusted with not only completing the project on time and on budget but also ensuring that the building received external certification that validated its sustainability standards. Allen's task was not an easy one because he had to address the often-conflicting demands of the project's stak",sim,sim,nao,nao
REG_01782,relevante,relevante,Analysis of environmental aspects in high energy performance family house - Case study,"In general, high energy performance building design ranges from architectural design to the application of technologies for energy conversation. Many applications are focused on insulation of facades, roofs and floors to those that are used systems for renewable energy sources. The aim of the innovations is not only energy saving but also reduce costs and preserve natural resources. One key element of high energy performance building design is use of basic form and enclosure of a building to save energy while enhancing occupant comfort. Besides energy need for building operation the significan",sim,sim,nao,nao
REG_02609,relevante,relevante,"A System Proposal for Information Management in Building Sector Based on BIM, SSI, IoT and Blockchain","This work presents a Self Sovereign Identity based system proposal to show how Blockchain, Building Information Modeling, Internet of Thing devices, and Self Sovereign Identity concepts can support the process of building digitalization, guaranteeing the compliance standards and technical regulations. The proposal ensures eligibility, transparency and traceability of all information produced by stakeholders, or generated by IoT devices appropriately placed, during the entire life cycle of a building artifact. By exploiting the concepts of the Self Sovereign Identity, our proposal allows the id",sim,sim,nao,nao
REG_03629,relevante,relevante,Placemaking as an approach of sustainable urban facilities management,"Purpose: This paper aims to present the potential of placemaking as an approach of sustainable urban facilities management and its impacts on the improvement of the planning procedures which was aimed at involving citizens in the process itself. The study is based on the general concept of placemaking represented as an “overarching idea and a hands-on approach for improving a neighbourhood, city or region”, that serves as a process that “inspires people to collectively reimagine and reinvent public spaces as the heart of every community” (PPS, 2007). Design/methodology/approach: The study used",sim,sim,nao,nao
REG_02686,relevante,relevante,The Future of Facilities Management: Managing Facilities for Sustainable Development,[No abstract available],sim,sim,nao,nao
REG_03530,relevante,relevante,"Circular Economy in India: Reduce, Reuse, and Recycle Through Policy Framework","In India, waste generation is increasing due to rapid industrialization and urbanization. For ensuring the safety of environment and sustainable management of waste, the statutory guidelines, rules, and principles are set. It is very important that how effectively these rules are implemented. The Environment Protection Act (EPA) in 1986 and subsequently a number of other rules supporting sustainable management of wastes were established in India to protect environmental quality and reduction of pollution from all potential sources in India. Based on the 3Rs (reduce–reuse–recycle) and circular ",sim,sim,nao,nao
REG_02078,relevante,relevante,Uncertainty and sensitivity analysis of building performance using probabilistic climate projections: A UK case study,This study explores the uncertainties and sensitivities in the prediction of the thermal performance of buildings under climate change. This type of analysis is key to the assessment of the adaptability and resilience of buildings to changing climate conditions. The paper presents a comprehensive overview of the key methodological steps needed for a probabilistic prediction of building performance in the long term future (50 to 80 years). The approach propagates uncertainties in climate change predictions as well as the uncertainties related to interventions in building fabric and systems. A c,sim,sim,nao,sim
REG_00048,relevante,relevante,Highway traveller information services success (HiTISS): Tools and information needs,"This paper aims to present the issues of the urban transportation system, implication, and proposed solutions. A sustainable urban mobility planning has a direct positive effect on the urban economic wellbeing dimensions such as; business diversity, financial viability, and service efficiency. However, the growing pressure on urban roads and highway travel demand could affect the failure of the performance of its networks. Thus, the proposed solution is to successfully implement highway traveller information services in this digital age. An urban highway can be classified as a road or street w",sim,sim,nao,nao
REG_06357,relevante,relevante,"A Comprehensive Study on Building Maintenance Practices for Heritage Shop Houses in Penang, Malaysia","The preservation of heritage shop houses in Penang, Malaysia, faces a critical challenge due to the absence of regular building maintenance practices. While a few conservation efforts were prompted by severe deterioration, there is a notable deficiency in implementing routine maintenance measures. The current approach primarily intervenes when buildings reach a state of severe disrepair, neglecting the imperative for continuous upkeep and adherence to maintenance regulations. This reactive strategy not only jeopardises the structural integrity of these historic structures but also destroy thei",sim,sim,nao,nao
REG_03326,relevante,relevante,Operational text-mining methods for enhancing building maintenance management,"Facility managers can significantly benefit from operational data, such as maintenance requests, stored in computerized maintenance management systems (CMMSs). This data is a valuable means to assess building performance and gain insights for preventive maintenance actions. However, databases are not always organized in such a way that allow undertaking analytics, therefore resulting in troubles when trying to generate useful information from raw data. This paper presents two methods based on a text-mining approach to extract valuable information from textual maintenance requests. The first me",sim,sim,nao,nao
REG_01155,relevante,relevante,Building information modeling for facilities management: Current practices and future prospects,"Building Information Modeling (BIM) has demonstrated important functional applications for architects, engineers and constructors, as both a tool and a process. However, its relative value for Facility Management (FM) has been widely debated in the industry. By leveraging the data resident in the geometric models, it can be reasoned that using BIM for FM is a valuable function of information management. The potential impact BIM has on cost reduction coupled with increased facility life cycle efficiencies are compelling arguments to keep developing and refining BIM for FM. As it continues to de",sim,sim,nao,nao
REG_08187,relevante,relevante,Continuous maintenance for college campus,"Today's HVAC systems may be energy efficient in design. However, if they are not installed for maintenance serviceability, they will not be maintained by the owner to the best possible standards. If the owner is not provided training or does not commit to providing for necessary proactive maintenance, mechanical equipment will not achieve long-term efficiency and life expectancy. Maintenance planning is critical to the success of a sustainable efficient chiller plant, whether a decentralized plant for a single facility, a large central plant for distribution to a campus environment or a design",sim,sim,nao,sim
REG_08183,relevante,relevante,To a new Dutch service life database of building products,"Obtaining information on reliable service lives of building products is of great importance when completing environmental life-cycle assessment (LCA) reviews, for life-cycle costing (LCC) and for maintenance planning tasks. In the Netherlands a catalogue for the reference service lives of building components exists since 1995. The catalogue covers all common building components and building services. There is a lack of reliable reference service life data of building products. All available international service life databases are not in accordance with criteria for reliable data, set down in ",sim,sim,nao,nao
REG_03515,relevante,relevante,A case study comparing the completeness and expressiveness of two industry recognized ontologies,"Enabling Smart Building applications will help to achieve the ongoing efficient commissioning of buildings, ultimately attaining peak performance in energy use and improved occupant health and comfort, at minimum cost. For these technologies to be scalable, ontology must be adopted to semantically represent data generated by building mechanical systems, acting as conduit for connection to Smart Building applications. As the Building Automation System (BAS) industry considers Brick and Project Haystack ontologies for such applications, this paper provides a quantitative comparison of their comp",sim,sim,nao,nao
REG_04478,relevante,relevante,Costs and benefits of optimizing hydronic performance of water-based heating and cooling systems,"The paper presents physical, economical and practical aspects of optimizing hydronics in heating and cooling systems using water as energy medium by hydronic balancing. The analysis is done with the objective to examine if retrofit of hydronic balancing in existing buildings is economically and technically feasible. The scope covers residential and non-residential buildings with fan-coil, surface and radiator heat emission systems and addresses impacts on building performance under typical, dynamically varying operating conditions. The paper starts with a qualitative assessment of different hy",sim,sim,nao,nao
REG_03692,relevante,relevante,Student construction sustainability evaluations: A LEED lab case study,"Construction sustainability involves processes, decisions, and actions during a project life cycle to enhance the project's social, economic, and environmental performance. Much of the existing guidance available to practitioners focuses on planning and execution utilizing a sustainability framework such as the Leadership in Energy and Environmental Design (LEED) by the U.S. Green Building Council (USGBC). As the demand for sustainability is increasing, universities are offering courses about construction sustainability to educate future professionals and provide hands-on experience to prepare",sim,sim,nao,sim
REG_03456,relevante,relevante,"Multi-objective Genetic Algorithm Optimization of HVAC Operation: Integrating Energy Consumption, Thermal Comfort, and Productivity","An important share of the energy demand of buildings is attributed to the heating, ventilation, and air conditioning (HVAC) systems. Simple changes in the operational settings of these systems, such as adjusting the thermostat setpoint temperatures, can have a significant impact on building performance (e.g., energy consumption and costs). In parallel, changes in indoor environmental conditions can directly impact occupants’ comfort, wellbeing, and productivity. A review of the literature indicates that the stated metrics of building performance are often studied in isolation, failing to captu",sim,sim,nao,nao
REG_03199,relevante,relevante,Pre-Design Study of Balai Warga Kelurahan Taman Sari's Building for Optimization Building Performance and Design Efficiency Strategies on Material Specification,"Building performance simulation is being increasingly deployed beyond the building design phase, pre-design phase to support building operation. Specifically, the predictive feature of the simulation-assisted building systems control strategy provides distinct advantages in view how the design on building works. Strategies can be done in the pre-design phase by optimizing the energy efficiency by using the building performance simulation with several criteria such as construction materials, indoor materials, sizes of openings, air conditioning system, water management system, number of equipme",sim,sim,nao,nao
REG_08173,relevante,relevante,Sustainability-focused maintenance strategy for the public rental housing estates in Hong Kong,"The Hong Kong Housing Authority (HKHA) manages and maintains over 1,100 high rise reinforced concrete buildings. HKHA builds around 15,000 flats in some 20 buildings annually. In 2005, the HKHA embarked on a new maintenance strategy with a view to better sustaining this growing building stock. It embraces structured programmes covering the regular inspection of the tenant-occupied flats, in-depth condition assessment of the older buildings, and the general improvement of the estate to give the tenants a revitalized environment. This paper outlines the key considerations and philosophy behind t",sim,sim,nao,nao
REG_01092,relevante,relevante,A strategic value management approach for energy and maintenance management in a building,"Fragmentation process is always been highlighted by the stakeholders in the construction industry as one of the 'critical' issue that diminishing the opportunity for stakeholders that involved during the operation and maintenance stage to influence design decisions. Failure of design professionals to consider how a maintenance contractor or facility manager will construct the design thus results in higher operating cost, wastage, defects during the maintenance and operation process. Moving towards team integration is considered a significant strategy for overcoming the issue. Value Management ",sim,sim,nao,nao
REG_08226,relevante,relevante,The Role of Technology to Sustainability in Building Maintenance for Infrastructure,"Based on the law No. 28 of 2002, The building is the outcome of construction activities that are either partially or entirely integrated into its location, whether on land or in water. In accordance with the definition of a building, the building must be able to be used for its intended function. In addition, all buildings have a service life. To achieve the planned service life, buildings must be maintained. Building Information Modeling (BIM) is a building modeling process that was primarily based on 3D models and has been developed to 8D that provides information and tools that help the pla",sim,sim,nao,nao
REG_02435,relevante,relevante,Remaining Useful Life Prediction of Gear Pump Based on Deep Sparse Autoencoders and Multilayer Bidirectional Long–Short–Term Memory Network,"Prediction of remaining useful life is crucial for mechanical equipment operation and maintenance. It ensures safe equipment operation, reduces maintenance costs and economic losses, and promotes development. Most of the remaining useful life prediction studies focus on bearings, gearboxes, and engines; however, research on hydraulic pumps remains limited. This study focuses on gear pumps that are commonly used in the hydraulic field and develops a practical method of predicting remaining useful life. The deep sparse autoencoder is used to extract multi–dimensional features. Subsequently, the ",sim,sim,nao,nao
REG_03335,relevante,relevante,IFCInfra4OM: An ontology to integrate operation and maintenance information in highway information modelling,"Building information modelling (BIM) is increasingly appropriate for infrastructure projects, and in particular for transport infrastructure. It is a digital solution that integrates the practices of the construction industry in facility management during the whole life cycle. This integration is possible through a single tool, which is the 3D digital model. Nevertheless, BIM standards, such as industry foundation classes, are still in the pipeline for infrastructure management. These standards do not fully meet the requirements of operation and maintenance of transport infrastructure. This pa",sim,sim,nao,nao
REG_00420,relevante,relevante,Maintenance Management System Effective Tool to Progress and Reach Total Productive Maintenance & Six Sigma Business Development Strategies.,"This paper presents the review/monitoring history of all kind of service equipment organization on common platform with identical format for information entry. The equipment covers ranges of all sizes, cost, portability and its use for different applications like emission measurement, safety measurement, environmental conditioning, on road measurements, etc. Micro level information data consists of equipment information (Installation date, cost etc), daily usage, observation of condition of equipment, maintenance solution, down time etc. This also provides information on availability of equipm",sim,sim,nao,nao
REG_07861,relevante,relevante,Overview and Analysis of Public Sewerage System Maintenance: Case Study Republic of Croatia †,"The sewerage system is a vital part of the infrastructure in every settlement, and thus, of the state itself. It ensures the conveyance of sanitary wastewater from its sources (households, buildings and industrial facilities) and stormwater from urban surfaces through sewerage pipelines to wastewater treatment plants and ultimately to receiving bodies. In the Republic of Croatia, combined sewerage systems are predominant. This paper presents selected data on the characteristics of public sewerage systems in Croatia for the analyzed period. Additionally, a questionnaire was conducted to assess ",sim,sim,nao,nao
REG_04531,relevante,relevante,A data-driven iterative digital twin framework for dynamic building energy performance: Integrating virtual sensing and anomaly diagnosis,"This study focuses on medium‑sized office buildings (8000–12000 m2) that are already in operation and equipped with partial sensor data. With the advancement of decarbonization goals in the building sector worldwide, there is an urgent need for Energy Performance Certification (EPC) tools to transform from “static compliance documents” to “dynamic decision-support platforms.” Traditional EPC systems suffer from three core limitations: incomplete whole-building performance evaluation due to data sparsity, inaccurate energy efficiency anomaly diagnosis caused by causal ambiguity, and lack of dyn",sim,sim,nao,nao
REG_06680,relevante,relevante,Corrosion modelling of welded joints of wind power facilities,"Corrosion problems in offshore wind power plants are a significant contributor to operation and maintenance (O&M) costs, typically around 15-30 percent of the total life cycle costs. Corrosion can degrade the structural material, contribute to fatigue cracking, brittle failure, and unstable failure, and the integrity of the entire structure can be significantly compromised. In the literature, there are many numerical simulations of the growth of pits and cracks in seawater under the influence of mechanical loads. Computer modeling allows quick assessment of the corrosion processes development;",sim,sim,nao,nao
REG_04559,relevante,relevante,IoT–DRL smart building control architecture,"This paper examines the integration of deep reinforcement learning (DRL) and the Internet of Things (IoT) for optimizing energy management in smart buildings, with a focus on sustainable urban development. It explores how DRL, combined with real-time IoT sensor data, enhances energy performance by adapting to dynamic Heating, Ventilation, and Air Conditioning (HVAC), lighting, and renewable energy conditions. Key techniques, including genetic algorithms (GA), particle swarm optimization, and hybrid approaches, are critically analyzed for balancing energy consumption and renewable energy utiliz",sim,sim,nao,nao
REG_06409,irrelevante,irrelevante,Research on establishment and application of delivery model of construction engineering based on digital twin,"Building lifecycle data contains valuable information about the processes of project initiation, design, construction, operation, and maintenance, which are important data assets. At present, there is no unified digital delivery standard in the construction industry, and there are issues of insufficient integrity and low utilization of construction delivery data. In order to better deliver and utilize building information, the difficult issues in current digital delivery were comprehensively analyzed, the data characteristics and delivery objects generated in each stage of construction project",nao,nao,nao,nao
