id_unico,criterio_agrupamento,n_registros_agrupados,bases_origem,strings_origem,titulos_originais,ids_brutos_agrupados
REG_00005,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,Decision Making within the Built Environment as a Strategy for Mitigating the Risk of Malaria and Other Vector-Borne Diseases || Decision making within the built environment as a strategy for mitigating the risk of malaria and other vector-borne diseases,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00004|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00626|WOS::WOS_NUCLEO_01_20260708_part01.ris::00304|WOS::WOS_NUCLEO_04_20260708_part01.ris::00454
REG_00007,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Water Taxation and Subsidy Analysis Based on Consumer Water Use Behavior and Water Sources Inside the Kathmandu Valley || Water taxation and subsidy analysis based on consumer water use behavior and water sources inside the Kathmandu Valley,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00006|WOS::WOS_NUCLEO_01_20260708_part01.ris::00561
REG_00009,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Facility management of smart buildings,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00008|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00627
REG_00013,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Graphical analysis for overall effectiveness management: A graphical method to support operation and maintenance performance assessment,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00012|WOS::WOS_NUCLEO_01_20260708_part01.ris::00260
REG_00014,doi,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,"Generative HBIM modelling to embody complexity (LOD, LOG, LOA, LOI): surveying, preservation, site interventionthe Basilica diCollemaggio (L'Aquila) || Generative HBIM modelling to embody complexity (LOD, LOG, LOA, LOI): surveying, preservation, site intervention—the Basilica di Collemaggio (L’Aquila)",SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00013|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00628|WOS::WOS_NUCLEO_01_20260708_part01.ris::00539|WOS::WOS_NUCLEO_04_20260708_part01.ris::00484
REG_00018,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Co-location opportunities for renewable energies and aquaculture facilities in the Canary Archipelago,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00017|WOS::WOS_NUCLEO_01_20260708_part01.ris::00155
REG_00023,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_02,Critical Success Factors (CSFs) in Implementing Sustainable Campus Operation (SCO) Initiatives at Malaysian Public Universities || Critical success factors (CSFs) in implementing sustainable campus operation (SCO) initiatives at Malaysian public universities,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00022|WOS::WOS_NUCLEO_02_20260708_part01.ris::00289
REG_00026,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,"The green and sustainable care facilities of elderly care home: An exploratory study of rumah seri kenangan cheras, selangor",SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00025|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00630
REG_00027,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,A validated low carbon office building intervention model based on structural equation modelling,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00026|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00629|WOS::WOS_NUCLEO_01_20260708_part01.ris::00404|WOS::WOS_NUCLEO_04_20260708_part01.ris::00422
REG_00031,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,"Prediction of Life Cycle Carbon Emissions of Sponge City Projects: A Case Study in Shanghai, China || Prediction of life cycle carbon emissions of sponge city projects: A case study in Shanghai, China",SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00030|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00631|WOS::WOS_NUCLEO_04_20260708_part01.ris::00113
REG_00039,doi_e_titulo,4,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,Addressing the Life Cycle of Sewers in Contrasting Cities through an Eco-Efficiency Approach,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00038|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00632|WOS::WOS_NUCLEO_01_20260708_part01.ris::00124|WOS::WOS_NUCLEO_04_20260708_part01.ris::00155
REG_00051,doi_e_titulo,2,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,Sustainable solid waste collection and management,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00050|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00633
REG_00058,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Indicators for quantifying environmental building performance: A systematic literature review,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00057|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00634|WOS::WOS_NUCLEO_04_20260708_part01.ris::00000
REG_00060,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,Probabilistic green infrastructure cost calculations using a phased life cycle algorithm integrated with uncertainties,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00059|WOS::WOS_NUCLEO_01_20260708_part01.ris::00210
REG_00061,doi_e_titulo,2,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_04,Beyond the third dimension of BIM: A systematic review of literature and assessment of professional views,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00060|WOS::WOS_NUCLEO_04_20260708_part01.ris::00373
REG_00062,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,"A biophysical approach to the performance diagnosis of human-building energy interaction: Information (bits) modeling, algorithm, and indicators of energy flow complexity || A biophysical approach to the performance diagnosis of human–building energy interaction: Information (bits) modeling, algorithm, and indicators of energy flow complexity",SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00061|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00635|WOS::WOS_NUCLEO_04_20260708_part01.ris::00296
REG_00066,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_04,Enablers of relational integrated value networks (RIVANS) for total facilities management (TFM),SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00065|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00636|WOS::WOS_NUCLEO_04_20260708_part01.ris::00079
REG_00069,doi_e_titulo,3,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|wos_nucleo_02,Green Building Occupant Satisfaction: Evidence from the Australian Higher Education Sector || Green building occupant satisfaction: Evidence from the Australian higher education sector,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00068|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00311|WOS::WOS_NUCLEO_02_20260708_part01.ris::00065
REG_00073,doi_e_titulo,3,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a2_contexto_publico_universitario|scopus_nucleo_a4_gestao_ativos_ciclo_vida,The challenges of adopting BIM for setting and infrastructure management of University of Minho,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00072|SCOPUS::scopus_nucleo_a2_contexto_publico_universitario_raw.csv::00312|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00637
