id_unico,titulo,ano,lacuna_identificada,lacuna_texto,lacuna_especifica_ies_publicas,rq5_confirmada
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,sim,"Few studies have focused on the quantitative investigation of FM performance, and there has been minimal research on the methodology required to arrive at the optimal strategy.",nao,sim
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,sim,"Whilst laying a good foundation to do so, further research is needed to investigate more cases in Western Australia and beyond to fully generalise the findings from this study.",nao,sim
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,sim,"To promote the market uptake of SB, innovative business models (BMs) are needed.",nao,sim
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,sim,Research limitations/implications: Future research work might consider validating this framework in other type of industries.,nao,sim
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,sim,"With cities at the forefront of the challenge of achieving global sustainability, a key concern for urban management bodies is to identify ways to promote sustainable development at the urban and sub-urban level.",nao,sim
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,sim,"Thus, the purpose of this paper is to determine the issues in operating and maintaining green walls, particularly in tropical areas like Singapore, leading to the development of a green maintainability framework.",nao,sim
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,nao,nao_identificada_no_resumo,nao,nao
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,sim,"© 2015, Emerald Group Publishing Limited.",nao,sim
REG_01104,Building information modeling for indoor environmental performance analysis,2015,sim,Further research on the framework and guidelines for BIM-based sustainability analyses and design process shall be conducted.,nao,sim
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,sim,"In fact, Malaysia is lacking of a standard of LCC particularly for M&E services for PFI projects to provide guideline for standardized method of LCC determination.",nao,sim
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,sim,"To overcome this problem simulation users may rely on Typical Meteorological Years (TMYs) instead of actual historical data, or they may apply an existing interpolation method to fill the gaps in historical data.",nao,sim
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,sim,© Emerald Group Publishing Limited.,sim,sim
REG_02069,Outsourcing in facilities management - A literature review,2011,nao,nao_identificada_no_resumo,nao,nao
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,nao,nao_identificada_no_resumo,nao,nao
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,sim,"This paper aims to provide a comprehensive review of the applications of digital twins for building energy efficiency, analyze research trends and identify research gaps and potential future research directions.",nao,sim
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,sim,"However, limited research has centered on improving educational building sustainability from users’ perspectives.",sim,sim
REG_02568,Assessment of the Perception of Sustainability for Occupants of Residential Buildings: A Case Study in the UAE,2022,sim,"Although evidence shows that the UAE is among the countries in the world that take sustainability seriously, there is a lack of information about the perception of sustainability by occupants in the residential sector in the UAE.",nao,sim
REG_02635,A thematic review on Prevention through design (PtD) concept application in the construction industry of developing countries,2022,nao,nao_identificada_no_resumo,nao,nao
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,sim,More application scenarios focusing on the stage of facility management and different sustainability performance will be conducted in P-BIM framework in future works.,sim,sim
REG_03176,The Strategy of Passive Ecological Building Design Based on Guangxi's Climate Characteristics - A Case Study on the Garden Art Gallery of the 12th China (Nanning) International Garden Expo,2021,nao,nao_identificada_no_resumo,nao,nao
REG_03230,Improving lighting efficiency in existing art museums: a case study,2021,sim,"© 2020, Emerald Publishing Limited.",nao,sim
REG_03334,Evaluation of facilities management sustainable parameters for improving operational efficiency,2021,sim,"© 2019 Informa UK Limited, trading as Taylor & Francis Group.",nao,sim
REG_03349,Exploring the Acceptance of Life Cycle Cost for Residential Projects in India,2021,sim,The research result reveals critical barriers in acceptance of life cycle cost in India.,nao,sim
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,sim,"However, research in Digital Twins for the built environment is still in its nascent stages and there is a need to understand the advances in the underlying enabling technologies and establish a convergent context for ongoing and future research.",nao,sim
REG_03383,Occupants’ Behavioral Analysis for the Optimization of Building Operation and Maintenance: A Case Study to Improve the Use of Elevators in a University Building,2021,sim,"© 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",sim,sim
