id_unico,ano,bases_origem,doi,titulo,resumo,palavras_chave,tipo_aplicacao,dados_utilizados,resultado_principal,lacuna_identificada,resumo_suficiente_para_extracao,estrato_uso_resumo,entra_sintese_analitica_forte,entra_mapeamento_descritivo,justificativa_reavaliacao_resumo
REG_01073,2015,Scopus,10.1016/j.habitatint.2015.03.015,Difficulties in executing the Mandatory Building Inspection Scheme (MBIS) for existing private buildings in Hong Kong,"Hong Kong is a highly developed and densely populated city with a multitude of ageing buildings. To maintain the Hong Kong's ageing building stock properly and promote public safety in a sustainable manner, it is crucial to ensure that building owners will take up the responsibility for inspecting and repairing their own properties on a regular basis. The Mandatory Building Inspection Scheme (MBIS) has been regarded as an effective measure in resolving the neglected building maintenance problems. However, there will also be some major difficulties encountered during implementation. This paper aims to investigate the genuine difficulties in executing MBIS for old private buildings in Hong Kong, based on an industry-wide empirical questionnaire survey. The survey findings reflected that the most profound difficulties in implementing MBIS include: (1) Difficulty in co-ordinating the individual flat owners for carrying out building inspection and necessary repair and maintenance works; (2) Disagreements or disputes amongst individual flat owners, owners' corporation or property management company will hinder the implementation process; and (3) Lack of property owners' initiative or owners' co-operation. After determining the key difficulties of MBIS, the research study would be significant to generate valuable insights into developing effective recommendations or measures for alleviating the barriers to MBIS success in future execution. © 2015 Elsevier Ltd.",Building inspection; Building management; Building safety; Difficulties in building repair and maintenance; Hong kong; Old private buildings,survey_ou_levantamento_com_especialistas,dados_de_questionario_ou_entrevista,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
REG_07192,2023,Scopus|WoS,10.1016/j.enbuild.2022.112732,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,"Numerous buildings fall short of expectations regarding occupant satisfaction, sustainability, or energy efficiency. In this paper, the performance of buildings in terms of occupant comfort is evaluated using a probabilistic model based on Bayesian networks (BNs). The BN model is founded on an in-depth anal-ysis of satisfaction survey responses and a thorough study of building performance parameters. This study also presents a user-friendly visualization compatible with BIM to simplify data collecting in two case studies from Norway with data from 2019 to 2022. This paper proposes a novel Digital Twin approach for incorporating building information modeling (BIM) with real-time sensor data, occupants' feedback, a probabilistic model of occupants' comfort, and HVAC faults detection and prediction that may affect occupants' comfort. New methods for using BIM as a visualization platform, as well as a pre-dictive maintenance method to detect and anticipate problems in the HVAC system, are also presented. These methods will help decision-makers improve the occupants' comfort conditions in buildings. However, due to the intricate interaction between numerous equipment and the absence of data integra-tion among FM systems, CMMS, BMS, and BIM data are integrated in this paper into a framework utilizing ontology graphs to generalize the Digital Twin framework so it can be applied to many buildings. The results of this study can aid decision-makers in the facility management sector by offering insight into the aspects that influence occupant comfort, speeding up the process of identifying equipment malfunc-tions, and pointing toward possible solutions.(c) 2022 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",Building information modelling (BIM); Decision-making; Digital twin; Facility management; Fault detection; Predictive maintenance; Digital twin Building information modelling (BIM) Fault detection Predictive maintenance Facility management Decision-making QUANTITATIVE MODEL GENETIC ALGORITHM ENERGY EFFICIENCY LIGHTING CONTROL THERMAL COMFORT BIM OPTIMIZATION SATISFACTION UNCERTAINTY MANAGEMENT,estudo_de_caso,dados_de_sensores_ou_iot,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
REG_03827,2020,Scopus,10.1108/jfm-07-2019-0035,The role of facilities management in green retrofit of existing buildings in the United Arab Emirates,"Purpose: Green retrofitting is acknowledged as an essential strategy toward achieving long-term sustainability in the built environment. To implement this strategy successfully, the role of facility managers cannot be ignored. The purpose of this paper is to investigate present practices that are used in managing the existing facilities, to highlight the elements that govern the process of green retrofitting, and discuss the efforts and contribution of facility managers in enhancing the environmental performance of the existing facilities stock in the United Arab Emirates (UAE). Design/methodology/approach: This study suggests that an adequate level of awareness of the benefits of green retrofit amongst owners and decision-makers is mostly dependent on facilities management (FM) professionals, who must establish effective communication channel with senior management. FM professionals in the UAE are well equipped and competent in greening existing buildings and can simultaneously lead a building to the path of achieving green building certification. Findings: To examine the role of FM in a green retrofit and its current status in the UAE built environment, a two-step qualitative method was adopted. The study started by conducting semi-structured interviews with FM professionals and then assessing the insights obtained from the interviews against an actual case study of a LEED Existing Building certified facility. Research limitations/implications: Interviews were limited to FM professionals in the private sector and the results from one case study should be considered cautiously. Originality/value: This paper emphasizes the primordial role of FM professionals in promoting green retrofit in the UAE. © 2020, Emerald Publishing Limited.",Built environment; Facilities management; Green retrofit; LEED; Operational stage; Sustainability,estudo_de_caso,dados_de_questionario_ou_entrevista,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
REG_01716,2013,Scopus,10.4324/9780203075739,Sustainable retrofit and facilities management,"Governments across the globe are setting targets for reducing their carbon emissions. For example, the UK Government has committed to an eighty per cent reduction by 2050, when twenty-eight million buildings that currently exist will still be standing; this represents a challenge to improve the energy efficiency of more than one building per minute between now and 2050! This is a problem that needs tackling worldwide and is a challenge to both the refurbishment sector of the global construction industry and to those who own and operate existing buildings. Sustainable Retrofit and Facilities Management provides comprehensive guidance to those involved in the refurbishment and management of existing buildings on minimizing carbon emissions, water consumption and waste to landfill, along with enhancing the long term sustainability of a building. Practical guidance is provided on measures that can be used to improve the efficiency and sustainability of existing buildings, through both good management and refurbishment. Also explored is the relationship between the refurbishment of existing buildings, facility management and the wider community infrastructure. The book looks at management tools such as post occupancy evaluation, building health checks, energy management software, green building management toolkits and green leases. Illustrated throughout with case studies and examples of best practice, this is a must-have handbook for engineers, architects, developers, contractors and facility managers. © 2013 Paul Appleby. All rights reserved.",,estudo_de_caso,nao_informado_no_resumo,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=8
REG_05379,2025,Scopus,10.3390/eng6060118,Offshore Wind Turbine Key Components’ Life Cycle Cost Analysis (LCCA): Specification Options in Western Australia,"Laminated Veneer Lumber (LVL) presents an alternative material for offshore wind turbine towers and blades for an energy sector whose greenhouse gas emissions are substantial. In compliance with AS/NZS 4536, this case study facilitates a specifications’ selection framework that embraces a validated, cost–benefit determination via life cycle cost analyses (LCCA) specification comparisons. A structured consultation with three key Western Australian offshore industry experts, compliant with a standard phenomenological qualitative approach, further facilitates offshore wind turbine (OWT), LCCA cost comparisons between traditional steel and fibreglass components and LVL wooden components. LVL is found to have a higher capital cost but can generate long-term savings of AUD 30,400 per comparable unit less than Traditional OWT specifications, noting a 5% lower LVL operation and maintenance cost. Where decommissioning recycling facilities exist, OWT LVL specification components are encouraged. This work argues that LVL options uptake in Western Australia (WA) is both practicable and whole-cost effective. © 2025 by the authors.",LCCA; LVL; offshore wind turbine; Western Australia,estudo_de_caso,nao_informado_no_resumo,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=8
REG_03729,2020,Scopus,10.1088/1757-899x/830/2/022035,Information system development using BIM on wall work packages of government green building to improve the convenience of maintenance performance,"Comfort is one indicator in the performance of building maintenance. This performance can be achieved by carrying out maintenance work on the building architecture components. The maintenance of government green buildings in Indonesia has not been done in an optimum manner due to constraints in maintenance work to government green buildings such as non-digitized data, poorly documented data, substandard maintenance work, and poor or slow identification of damages. Impacts resulted from the poorly maintained building are the increasing operational cost and ineffective maintenance work done to the building. The aim of this study is to increase the comfort of maintenance performance of the architectural component of government green building, especially the wall work package. The case study taken is the Ministry of Public Works and Public Housing Building which is considered as a representation of government green building in Indonesia. The method used are literature research, case study, and survey. The result of this research is the information system development using Building Information Modelling (BIM) integrated into building maintenance systems such as Work Breakdown Structure (WBS), SOP, and building maintenance guidelines for architectural components. © Published under licence by IOP Publishing Ltd.",,estudo_de_caso,nao_informado_no_resumo,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=8
REG_03176,2021,Scopus,10.1088/1755-1315/768/1/012132,The Strategy of Passive Ecological Building Design Based on Guangxi's Climate Characteristics - A Case Study on the Garden Art Gallery of the 12th China (Nanning) International Garden Expo,"This project is based on the climate characteristics of Guangxi, combined with regional traditional construction methods and vernacular construction materials, and mainly in the light of the passive green building technology system guided by the principle of less manpower and more natures features, which saves early investment and the cost of operation and maintenance, further verifies the effectiveness of the strategy after completion, providing a reference for the development and application of related passive building technology.  © Published under licence by IOP Publishing Ltd.",,estudo_de_caso,nao_informado_no_resumo,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=8
REG_09503,2012,WoS,10.1016/j.sbspro.2012.11.178,Developing post occupancy evaluation sustainability assessment framework for retrofitting commercial office buildings: A proposal,"Developing a new assessment tool in the area of sustainable development requires a strategic methodology for a cohesive and logical framework incorporating relevant theory and practical experience. This study is aimed to provide a Post Occupancy Evaluation (POE) sustainability assessment framework for retrofitting commercial office buildings in Malaysia. The design of sampling selects GBI certified office buildings and a non GBI certified commercial building, to obtain the building performance score then, conducting interviews with professionals to obtain feedback on environmental performance and determine the occupants' satisfaction level in certified GBI commercial office buildings and conventional; through questionnaire distribution. (C) 2012 Published by Elsevier Ltd.",Commercial buildings Facilities management Indicators Post occupancy evaluation Sustainability,survey_ou_levantamento_com_especialistas,dados_de_questionario_ou_entrevista,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
REG_03318,2021,Scopus,10.1080/20479700.2019.1616387,Addressing facility management issues and challenges common among public health care institutions in a developing country,"Providing quality facility management services for the health sector poses a great challenge for health facility managers. Given the present condition of the health facilities in public health care institutions (HCIs) in a developing country, it is crucial to know how these HCIs respond to it. This study used survey research design to put up strategies that will help in addressing the issues and challenges related to facility management in the public HCIs in a developing country. A researcher-made structured questionnaire composed of closed- and open-ended questions was used to gather information. Descriptive statistics were used to analyse the data. Findings reveal that the common issues and challenges on lack of facilities among public health sectors are mostly stemming from the very limited resources accorded to them as well as with the government procurement procedures. HCIs need to address the common problems through enhancing efficiency and sustainability measures both in the short and long-term, as well as minimizing risks and enhancing green building technologies. These are some of the plausible measures that if being considered and implemented would help confront these issues and thereby help realizing the crucial role of HCIs in providing equitable services to the country. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Developing country; devolved healthcare systems; facility management; health care institutions,nao_classificavel_pelo_resumo,dados_de_questionario_ou_entrevista,Findings reveal that the common issues and challenges on lack of facilities among public health sectors are mostly stemming from the very limited resources accorded to them as well as with the government procurement procedures.,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
REG_06840,2024,Scopus,10.1109/ispa63168.2024.00294,Smart Building Management System based on Digital Twin: A Case Study on Real-Time Environmental Monitoring and Thermal Comfort Prediction,"As urban landscapes increasingly transform into smart cities, there is an increasing emphasis on smart buildings for sustainable and efficient management of resources. This evolution necessitates innovative approaches to efficiently manage energy resources, enhance occupant comfort, and ensure environmental sustainability. In response to these challenges, this study introduces a practical and novel smart building management system, which integrates Digital Twin (DT) technology with machine learning, primarily aimed at enhancing thermal comfort in buildings. The system, underpinned by a sensor network-based DT and real-time data visualization using the Unreal Engine, employs a Deep Neural Network (DNN) to predict thermal comfort. The empirical validation, conducted in a controlled laboratory setting, involves a comparative analysis of the DNN's performance against traditional models and user experience evaluation through the USE Questionnaire. Results demonstrate the DNN's superior predictive accuracy and high user satisfaction levels in usability and effectiveness. This research highlights the significant role of DT and machine learning in revolutionizing smart building operations, setting a foundation for future advancements in creating sustainable, efficient, and occupant-friendly smart cities.  © 2024 IEEE.",,estudo_de_caso,dados_de_questionario_ou_entrevista; dados_de_sensores_ou_iot,nao_informado_no_resumo,nao_identificavel_pelo_resumo,sim,A_nucleo_forte,TRUE,TRUE,objeto_predial=TRUE; manutencao_gestao=TRUE; sustentabilidade=TRUE; metodo_dado_resultado=TRUE; exclusao_forte=FALSE; resumo_suficiente=sim; pontos=9
