id_unico,ano,bases_origem,doi,titulo,resumo_presente,decisao_qualitativa_final,rqs_confirmadas_leitura,rq0_confirmada,rq1_confirmada,rq2_confirmada,rq3_confirmada,rq4_confirmada,rq5_confirmada,tipo_contribuicao_artigo,criterios_identificados_leitura,metodos_decisao_identificados_leitura,contexto_edificacao_identificado_leitura,dimensoes_sustentabilidade_identificadas_leitura,lacuna_ou_limite_identificado_leitura,motivo_decisao,evidencia_curta_do_resumo,nivel_confianca_decisao,necessita_full_text_pontual,motivo_full_text_pontual,asreview_label_compativel,observacao_auditoria
REG_00024,2018,Scopus,10.1145/3276774.3276784,The impact of occupancy resolution on the accuracy of building energy performance simulation,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4,nao,sim,sim,sim,sim,nao,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;contexto_publico_universitario;energia_desempenho_operacional;apoio_contextual,energia;desempenho_operacional;informacao_dados,optimization;framework,escola;edificio_generico,ambiental;tecnica_operacional;institucional;energia,nao_identificada_no_resumo,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","Using Building Performance Simulation (BPS) is nowadays a standard practice in building design, building operation and energy management, model predictive control, fault detection and diagnosis applications.",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00469,2017,Scopus,,Waste management in green building operations using GSCM,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4,nao,sim,sim,sim,sim,nao,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;custo_ciclo_de_vida;apoio_contextual,custo;energia;vida_util;desempenho_operacional;agua;residuos,cost-benefit;framework,hospital;edificio_generico,ambiental;economica;social;tecnica_operacional;institucional;energia;ciclo_de_vida,nao_identificada_no_resumo,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","Green buildings also known as green construction or sustainable building are environmentally responsible and resource-efficient throughout a building's life-cycle: from siting to design, construction, operation, maintena",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00761,2016,Scopus,10.1016/j.enbuild.2016.04.055,A multidimensional model for green building assessment: A case study of a highest-rated project in Chongqing,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;apoio_contextual,energia;desempenho_operacional,optimization;scoring;framework,edificio_generico,ambiental;social;tecnica_operacional;institucional;energia,The OPT coordinate system was built up based on the scoring centroid system of both the China Green Building Labelling scheme (GBL) and the Singapore Green Mark (GM) by the introduction of the Coefficient of Variation and Moment of Inertia.,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","Green building is an inevitable trend in the construction industry which deeply affects the social development of the economy, environment and a series of industries.",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_02183,2011,Scopus,10.1016/j.simpat.2010.11.002,"Multi-criteria optimisation using past, real time and predictive performance benchmarks",sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;contexto_publico_universitario;energia_desempenho_operacional;custo_ciclo_de_vida;risco_seguranca_conforto;lacuna_para_ies_publicas;apoio_contextual,condicao_fisica;energia;conforto;vida_util;desempenho_operacional;emissoes_carbono;informacao_dados,optimization;framework,universidade;patrimonio_historico;campus;edificio_generico,ambiental;tecnica_operacional;institucional;energia;conforto;ciclo_de_vida,This paper defines a methodology that incorporates predictive BES into building operation while acknowledging present technological limitations with respect to model accuracy and required resources.,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","In the case of environmental and energy management of buildings, whole Building Energy Simulation (BES) models can be used to determine indoor environmental conditions, building energy consumption, system performance, an",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_02419,2022,Scopus,,Utilizing GSCM for Waste Management in Green Building Operations & Analysis of Psychology Differences between Turkish and EU Rules,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4,nao,sim,sim,sim,sim,nao,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;custo_ciclo_de_vida;apoio_contextual,custo;condicao_fisica;energia;desempenho_operacional;agua;residuos,cost-benefit;framework,hospital;edificio_generico,ambiental;economica;social;tecnica_operacional;institucional;energia,nao_identificada_no_resumo,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","From site selection to design, construction, operation, maintenance, repair, and destruction, green buildings are resource and environmentally-conscious.",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_02486,2022,Scopus|WoS,10.1007/s10668-021-01926-8,Green building performance assessment in China using a cloud model,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;custo_ciclo_de_vida;risco_seguranca_conforto;apoio_contextual,custo;energia;conforto;desempenho_operacional,AHP;fuzzy;framework,hospital;edificio_generico,ambiental;economica;social;tecnica_operacional;institucional;energia;conforto,"This study provides a consistent framework for researchers and other public to evaluate green buildings, and provides a solid foundation for further research and consideration basis on sustainable development and green building operation.","Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","With the acceleration of urbanization process in China, the usage of sustainable green buildings is getting a great attention and significance in order to reduce energy consumption.",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_02556,2022,Scopus|WoS,10.1016/j.scs.2022.103890,A spatio-temporal framework for sustainable planning of buildings based on carbon emissions at the city scale,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;custo_ciclo_de_vida;apoio_contextual,energia;vida_util;desempenho_operacional;emissoes_carbono,decision support;framework,edificio_residencial;edificio_generico,ambiental;tecnica_operacional;institucional;energia;ciclo_de_vida,Several studies focused on life cycle assessment of construction materials while limited research analyzed CO2 emissions associated with buildings.,"Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.",Buildings are key society element and essential in the formation of sustainable cities.,media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_02657,2022,Scopus,10.1016/j.jclepro.2022.130590,Examining the OHS of green building construction projects: A hybrid fuzzy-based approach,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;risco_seguranca_conforto;apoio_contextual,risco;seguranca;desempenho_operacional,MCDM;fuzzy;decision support;Bayesian Best Worst Method;Delphi;framework,hospital;edificio_generico,ambiental;social;tecnica_operacional;risco;seguranca,"Despite the research limitations, this study prudently assessed the OHS-related risks to the LEED-based (the most widely used certification in the country) projects, and offered a fertile ground for future research to be conducted in developing economy setting","Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.","Green buildings (GBs) have been adopted mainly to minimize the negative effects of the design, construction, and building operations on the environment.",media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_03466,2021,Scopus,10.1016/j.apenergy.2020.116091,A real-time diagnostic tool for evaluating the thermal performance of nearly zero energy buildings,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;energia_desempenho_operacional;apoio_contextual,condicao_fisica;energia;desempenho_operacional;informacao_dados,optimization;framework,edificio_residencial;edificio_generico,ambiental;social;tecnica_operacional;institucional;energia,"However, the construction industry that leads the development of nZEB is facing challenges to guarantee its performance.","Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.",The nearly zero-energy buildings (nZEB) presents a promising contribution to fulfill the EU sustainable future targets.,media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_03618,2020,Scopus|WoS,10.1080/17508975.2019.1567456,Research on evaluation and optimization of sustainable indoor environment of public buildings in Xi’an in summer,sim,manter_como_secundario,RQ1;RQ2;RQ3;RQ4;RQ5,nao,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;contexto_publico_universitario;energia_desempenho_operacional;risco_seguranca_conforto;lacuna_para_ies_publicas;apoio_contextual,condicao_fisica;energia;conforto;desempenho_operacional;emissoes_carbono,fuzzy;optimization;framework,edificio_publico;edificio_generico,ambiental;tecnica_operacional;institucional;energia;conforto,"© 2019 Informa UK Limited, trading as Taylor & Francis Group.","Resumo é aderente ao ambiente construído sustentável ou a métodos de avaliação, mas a relação com manutenção/gestão predial é indireta ou limitada.",There have been more concerns over energy resource depletion and indoor comfort improvement along with the increased time spend in a building.,media,nao,nao_aplicavel,maybe,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
