doi,title,abstract,author,published,container_title,type,subject,is_referenced_by_count,url,publisher,language,database,string_id,query_bibliographic
10.1201/9781003497189-7,Building Blocks of Artificial Intelligence and Machine Learning,,Naga Ramesh Palakurti,2024-10-28,Artificial Intelligence and Machine Learning for Sustainable Development,book-chapter,,1,https://doi.org/10.1201/9781003497189-7,CRC Press,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-3-031-69457-8_35,Research on the Application of Machine Learning in Predictive Maintenance of Building Structures,,Saibo Jin,2024,Learning and Analytics in Intelligent Systems; Artificial Intelligence for Future Society,book-chapter,,3,https://doi.org/10.1007/978-3-031-69457-8_35,Springer Nature Switzerland,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-3-031-91084-5_4,Machine Learning: Building Intelligence from Patterns,,Rajendra Akerkar,2026,Artificial Intelligence,book-chapter,,0,https://doi.org/10.1007/978-3-031-91084-5_4,Springer Nature Switzerland,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/978-1-4842-5599-5_6,Artificial Intelligence and Machine Learning,,Shing Lyu,2020,Practical Rust Projects,book-chapter,,2,https://doi.org/10.1007/978-1-4842-5599-5_6,Apress,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.4018/ijaiml.20210701oa12,Automobile Predictive Maintenance using Deep Learning,"<jats:p>There are three types of maintenance management policy Run-tofailure (R2F), Preventive Maintenance (PvM) and Predictive Maintenance (PdM). In both R2F and PdM we have the data related to the maintenance cycle. In case of Preventive Maintenance (PvM) complete information about maintenance cycle is not available. Among these three maintenance policies, predictive Maintenance (PdM) is becoming a very important strategy as it can help us to minimize the repair time and the associated cost with it. In this paper we have proposed PdM, which allows the dynamic decision rules for the maintenance management. PdM is achieved by training the machine learning model with the datasets. It also helps in planning of maintenance schedules. We specially focused on two models that are Binary Classification and Recurrent Neural Network. In Binary Classification we classify whether our data belongs to the failure class or the non failure class. In Binary Classification the number of cycles is entered and classification model predicts whether it belongs to the failure/non failure class.</jats:p>",,2021-7,International Journal of Artificial Intelligence and Machine Learning,journal-article,,0,https://doi.org/10.4018/ijaiml.20210701oa12,IGI Global Scientific Publishing,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1007/s44244-024-00022-w,Employing machine learning in water infrastructure management: predicting pipeline failures for improved maintenance and sustainable operations,,Yasin Asadi,2024-11-14,Industrial Artificial Intelligence,journal-article,,11,https://doi.org/10.1007/s44244-024-00022-w,Springer Science and Business Media LLC,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.55124/jaim.v1i1.233,The Machine learning for Predictive Maintenance in Supply Chain Management,"<jats:p>It has recently come to light that one of the most important applications of machine
learning in a variety of sectors, including supply chain management, is predictive
maintenance. The purpose of this research is to investigate the use of machine learning
strategies for predictive maintenance within the framework of supply chain management.
Traditional procedures of maintenance often cause inefficiencies and interruptions in the
supply chain as a result of unanticipated breakdowns of various pieces of equipment. It is
possible to greatly improve both the reliability and performance of supply chain
operations via the use of predictive maintenance approaches. This article starts out by
giving an overview of predictive maintenance and the role that it plays in supply chain
management. The issues that are presented by unanticipated equipment failures and the
cascade consequences that these failures have on the supply chain are discussed. In the
context of predictive maintenance, a number of different techniques to machine learning,
including supervised learning, unsupervised learning, and deep learning, are analyzed and
discussed. In addition to this, the study digs into data-gathering strategies, discussing
topics such as sensor data, past maintenance records, and external influences that might
influence the health of equipment. In addition, the article discusses the implementation
issues that are associated with installing predictive maintenance systems in supply chain
environments. Some of these challenges include data quality and integration, real-time
decision-making, cost concerns, and others. This paper investigates the role that edge
computing and industrial Internet of Things (IoT) devices play in making data gathering,
analysis, and preventative maintenance more efficient.</jats:p>",Krishnamoorthy Selvaraj; Srinivasan Lakshmanan,2021,Journal of Artificial intelligence and Machine Learning,journal-article,,5,https://doi.org/10.55124/jaim.v1i1.233,Sciforce LLC,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1016/j.artint.2023.103945,Human performance consequences of normative and contrastive explanations: An experiment in machine learning for reliability maintenance,,Davide Gentile; Birsen Donmez; Greg A. Jamieson,2023-8,Artificial Intelligence,journal-article,,11,https://doi.org/10.1016/j.artint.2023.103945,Elsevier BV,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.1002/9781118577691.ch4,Artificial Intelligence for Building Energy Analysis,,Frédéric Magoulès; Hai‐Xiang Zhao,2016-2-26,Data Mining and Machine Learning in Building Energy Analysis,other,,2,https://doi.org/10.1002/9781118577691.ch4,Wiley,en,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
10.63282/3050-9262.ijaidsml-v5i3p112,Building More Efficient AI Models through Unsupervised Representation Learning,,,2024,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",journal-article,,0,https://doi.org/10.63282/3050-9262.ijaidsml-v5i3p112,ScienceTech Xplore,,Crossref,crossref_ia_01,building maintenance artificial intelligence machine learning
