id_unico,ano,bases_origem,doi,titulo,resumo_presente,decisao_qualitativa_final,rqs_confirmadas_leitura,rq0_confirmada,rq1_confirmada,rq2_confirmada,rq3_confirmada,rq4_confirmada,rq5_confirmada,tipo_contribuicao_artigo,criterios_identificados_leitura,metodos_decisao_identificados_leitura,contexto_edificacao_identificado_leitura,dimensoes_sustentabilidade_identificadas_leitura,lacuna_ou_limite_identificado_leitura,motivo_decisao,evidencia_curta_do_resumo,nivel_confianca_decisao,necessita_full_text_pontual,motivo_full_text_pontual,asreview_label_compativel,observacao_auditoria
REG_00110,2018,Scopus|WoS,10.1061/(asce)cf.1943-5509.0001176,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;facility_management;energia_desempenho_operacional;custo_ciclo_de_vida;risco_seguranca_conforto,custo;risco;vida_util;desempenho_operacional;informacao_dados;qualidade_servico,fuzzy;scoring;decision support;life-cycle cost;balanced scorecard;framework,edificio_comercial;portfolio_predial;edificio_generico,economica;tecnica_operacional;institucional;ciclo_de_vida,"Few studies have focused on the quantitative investigation of FM performance, and there has been minimal research on the methodology required to arrive at the optimal strategy.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","For owners of aged buildings, considerable attention needs to be devoted to efficient facility management (FM) to extend building life and achieve life-cycle cost savings.",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00217,2018,Scopus|WoS,10.1108/f-03-2016-0028,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;facility_management;energia_desempenho_operacional;custo_ciclo_de_vida,vida_util;desempenho_operacional;informacao_dados,framework;BIM,portfolio_predial;edificio_generico,social;tecnica_operacional;institucional;ciclo_de_vida,"Whilst laying a good foundation to do so, further research is needed to investigate more cases in Western Australia and beyond to fully generalise the findings from this study.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","Purpose: The purpose of this study is to investigate ways of transferring knowledge and information during the life-cycle phases of construction projects, particularly between the construction and occupancy phases, and t",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00415,2017,Scopus|WoS,10.1061/(asce)co.1943-7862.0001348,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;energia_desempenho_operacional;custo_ciclo_de_vida,desempenho_operacional;informacao_dados;custo,AHP;ANP;fuzzy;scoring;decision support;framework,edificio_generico,ambiental;social;tecnica_operacional;ciclo_de_vida;economica,"To promote the market uptake of SB, innovative business models (BMs) are needed.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.",Sustainable building (SB) has emerged as an innovative approach to minimizing the resource consumption of buildings.,alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00489,2017,Scopus|WoS,10.1108/ijlss-09-2015-0035,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;energia_desempenho_operacional,energia;desempenho_operacional;informacao_dados,decision support;framework,edificio_generico,ambiental;tecnica_operacional;institucional;energia,Research limitations/implications: Future research work might consider validating this framework in other type of industries.,"Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.",Purpose: This paper aims to develop a knowledge-based (KB) system for Lean Six Sigma (LSS) maintenance in environmentally sustainable buildings (Lean6-SBM).,alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00519,2017,Scopus,10.2495/sdp-v12-n3-446-456,Urban facilities management: A systemic process for achieving urban sustainability,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ4;RQ5,sim,sim,sim,nao,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;gestao_manutencao_predial;facility_management,informacao_dados,framework,portfolio_predial,ambiental;social;institucional,"With cities at the forefront of the challenge of achieving global sustainability, a key concern for urban management bodies is to identify ways to promote sustainable development at the urban and sub-urban level.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","With cities at the forefront of the challenge of achieving global sustainability, a key concern for urban management bodies is to identify ways to promote sustainable development at the urban and sub-urban level.",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00852,2016,Scopus|WoS,10.1108/ss-02-2016-0007,Developing a green maintainability framework for green walls in Singapore,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ4;RQ5,sim,sim,sim,nao,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;gestao_manutencao_predial;facility_management;energia_desempenho_operacional;custo_ciclo_de_vida,condicao_fisica;energia;vida_util;desempenho_operacional;informacao_dados;manutenibilidade,framework,portfolio_predial;edificio_generico,ambiental;tecnica_operacional;institucional;energia;ciclo_de_vida,"Thus, the purpose of this paper is to determine the issues in operating and maintaining green walls, particularly in tropical areas like Singapore, leading to the development of a green maintainability framework.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","Purpose: The use of green wall technology in green buildings is a growing trend; however, more research is required about their maintainability, taking into account that maintainability at the design stage is a valuable ",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_00888,2016,Scopus|WoS,10.1016/j.proeng.2016.04.040,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4,sim,sim,sim,sim,sim,nao,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;energia_desempenho_operacional;custo_ciclo_de_vida;risco_seguranca_conforto,risco;condicao_fisica;energia;vida_util;desempenho_operacional;emissoes_carbono,optimization;framework,edificio_residencial;edificio_generico,ambiental;tecnica_operacional;risco;energia;ciclo_de_vida,nao_identificada_no_resumo,"Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.",Life-cycle analysis is a beneficial tool that can be utilized to quantify the performance of buildings within the context of environmental impact metrics (e.g.,alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_01046,2015,Scopus,10.1108/sasbe-08-2014-0043,Literature review of green retrofit design for commercial buildings with BIM implication,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;facility_management;energia_desempenho_operacional;custo_ciclo_de_vida,energia;vida_util;desempenho_operacional;informacao_dados,framework;BIM,edificio_comercial;portfolio_predial;edificio_generico,ambiental;social;tecnica_operacional;institucional;energia;ciclo_de_vida,"A revisão identifica fragmentação entre BIM e o processo de retrofit verde e requer validação das implicações funcionais, técnicas e organizacionais propostas.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","It proposes studying the functional, technical, and organizational issues of the green retrofit process.",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_01104,2015,Scopus,10.3844/ajessp.2015.55.61,Building information modeling for indoor environmental performance analysis,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;facility_management;energia_desempenho_operacional;custo_ciclo_de_vida;risco_seguranca_conforto,custo;conforto;desempenho_operacional;informacao_dados,framework;BIM,portfolio_predial;edificio_generico,ambiental;tecnica_operacional;conforto;ciclo_de_vida,Further research on the framework and guidelines for BIM-based sustainability analyses and design process shall be conducted.,"Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.","From the stages of building design development to post-occupancy management, BIM plays an essential role in collaboration among multi-discipline professions, time and cost saving, fabrication and construction as well as ",alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
REG_01239,2015,Scopus,,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,sim,manter_nucleo_principal,RQ0;RQ1;RQ2;RQ3;RQ4;RQ5,sim,sim,sim,sim,sim,sim,criterios_de_sustentabilidade;criterios_de_priorizacao;metodo_multicriterio_ou_decisao;gestao_manutencao_predial;energia_desempenho_operacional;custo_ciclo_de_vida,custo;vida_util;desempenho_operacional,life-cycle cost;framework,edificio_generico,economica;tecnica_operacional;institucional;ciclo_de_vida,"In fact, Malaysia is lacking of a standard of LCC particularly for M&E services for PFI projects to provide guideline for standardized method of LCC determination.","Resumo confirma contribuição direta à manutenção/gestão predial ou FM, articulando sustentabilidade com critérios, método, desempenho operacional ou decisão.",Mechanical and Electrical (M&E) services costs contribute to major percentage of total construction costs of a building as they comprise of significant operation and maintenance costs.,alta,nao,nao_aplicavel,include,"Auditoria qualitativa estruturada de título, resumo, palavras-chave e campos extraídos; sem uso de internet, PDFs ou full-text."
