termo,2010–2020,2010–2020 (%),2021–2026,2021–2026 (%),delta_pp
facility management,18,11.5,23,10.7,-0.8
building information modeling (bim),9,5.7,28,13.0,7.3
green building,16,10.2,10,4.7,-5.5
life cycle assessment,6,3.8,14,6.5,2.7
energy efficiency,10,6.4,5,2.3,-4.1
sustainable development,5,3.2,6,2.8,-0.4
building performance,6,3.8,4,1.9,-1.9
office building,3,1.9,7,3.3,1.4
digital twin,0,0.0,10,4.7,4.7
building maintenance,6,3.8,3,1.4,-2.4
carbon emissions,1,0.6,7,3.3,2.7
building operation,2,1.3,6,2.8,1.5
residential building,2,1.3,5,2.3,1.0
building performance simulation,4,2.5,2,0.9,-1.6
smart building,2,1.3,4,1.9,0.6
operation and maintenance,4,2.5,2,0.9,-1.6
sustainable construction,1,0.6,5,2.3,1.7
maintenance management,4,2.5,2,0.9,-1.6
