chave_bibtex,tipo,autoria,titulo,ano,periodico_ou_instituicao,volume,numero,paginas,doi,url_doi
abnt_nbr5674_2012,techreport,{Associação Brasileira de Normas Técnicas},"NBR 5674: manutenção de edificações, requisitos para o sistema de gestão de manutenção",2012,ABNT,,,,,
aldairi_lean6sbm_2017,article,"Aldairi, Jasim and Khan, M. K. and Munive-Hernandez, J. Eduardo",Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,International Journal of Lean Six Sigma,8,1,109-130,10.1108/IJLSS-09-2015-0035,https://doi.org/10.1108/IJLSS-09-2015-0035
alfalah_frameworkeducacional_2022,article,"Alfalah, Ghasan and Al-Sakkaf, Abobakr and Mohammed Abdelkader, Eslam and Zayed, Tarek",An integrated fuzzy-based sustainability framework for post-secondary educational buildings: a user-perspective approach,2022,Sustainability,14,16,9955,10.3390/su14169955,https://doi.org/10.3390/su14169955
alici_iotambientes_2026,article,"Alici, Nedim","IoT-enabled indoor environments in smart cities: a systematic review on energy efficiency, user comfort, and environmental sustainability",2026,Frontiers in Sustainability,7,,1751337,10.3389/frsus.2026.1751337,https://doi.org/10.3389/frsus.2026.1751337
aliu_barreirasdt_2025,article,"Aliu, Abdulmalik Adozuka and Ariff, Nor Rima Muhamad and Said, Sheikh Ali Azzran Sh and Ametefe, Divine Senanu and John, Dah",Barriers to digital transformation in facilities management: insights from a developing country,2025,Journal of Construction in Developing Countries,30,2,137-168,10.21315/jcdc.2025.30.2.6,https://doi.org/10.21315/jcdc.2025.30.2.6
araujoneto_manutencaolegislacao_2015,article,"Araújo Neto, Paschoal Gavazza de","A manutenção predial nas edificações públicas, um estudo sobre a legislação",2015,E\&S Engineering and Science,3,1,85-93,10.18607/ES201532557,https://doi.org/10.18607/ES201532557
awuzie_fmuniversidades_2017,article,"Awuzie, Bankole Osita and Isa, Rasheed",Stakeholders' perception of critical success factors for sustainable facilities management practice in universities in sub-Saharan Africa,2017,Acta Structilia,24,2,106-127,10.18820/24150487/as24i2.4,https://doi.org/10.18820/24150487/as24i2.4
barbosa_facilitiesinstituicaopublica_2020,article,"Barbosa, Ana Maria da Silva and Jerônimo, Taciana de Barros and Ramos, Patrícia Tatiana Ferreira and Santos, Juliana Karla Rodrigues de Souza",A gestão de facilities na manutenção de uma instituição pública,2020,Revista Gestão Industrial,16,3,129-146,10.3895/gi.v16n3.8968,https://doi.org/10.3895/gi.v16n3.8968
chew_manutenibilidadeverde_2016,article,"Chew, Michael Yit Lin and Conejos, Sheila",Developing a green maintainability framework for green walls in Singapore,2016,Structural Survey,34,4/5,379-406,10.1108/SS-02-2016-0007,https://doi.org/10.1108/SS-02-2016-0007
conejos_verticalgreenery_2019,article,"Conejos, Sheila and Chew, Michael Yit Lin and Azril, Fikril Hakim Bin",Green maintainability assessment of high-rise vertical greenery systems,2019,Facilities,37,13/14,1008-1047,10.1108/F-09-2018-0107,https://doi.org/10.1108/F-09-2018-0107
crossref_restapi_2026,online,{Crossref},REST API: metadata retrieval,2026,,,,,,
das_iotai_2025,article,"Das, Dillip Kumar","Integrating IoT and AI for Sustainable Energy-Efficient Smart Building: Potential, Barriers and Strategic Pathways",2025,Sustainability,17,22,10313,10.3390/su172210313,https://doi.org/10.3390/su172210313
deng_bimdigitaltwins_2021,article,"Deng, Min and Menassa, Carol C. and Kamat, Vineet R.",From BIM to digital twins: a systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,Journal of Information Technology in Construction (ITcon),26,,58-83,10.36680/j.itcon.2021.005,https://doi.org/10.36680/j.itcon.2021.005
donthu_bibliometria_2021,article,"Donthu, Naveen and Kumar, Satish and Mukherjee, Debmalya and Pandey, Nitesh and Lim, Weng Marc",How to conduct a bibliometric analysis: an overview and guidelines,2021,Journal of Business Research,133,,285-296,10.1016/j.jbusres.2021.04.070,https://doi.org/10.1016/j.jbusres.2021.04.070
ferreira_manutencaoceramica_2020,article,"Ferreira, Cláudia and Neves, Luís Canhoto and Silva, Ana and de Brito, Jorge",Stochastic maintenance models for ceramic claddings,2020,Structure and Infrastructure Engineering,16,2,247-265,10.1080/15732479.2019.1652657,https://doi.org/10.1080/15732479.2019.1652657
gispert_ontologiaativos_2025,article,"Espinosa Gispert, Diego and Yitmen, Ibrahim and Sadri, Habib and Taheri, Afshin",Development of an ontology-based asset information model for predictive maintenance in building facilities,2025,Smart and Sustainable Built Environment,14,3,740-757,10.1108/SASBE-07-2023-0170,https://doi.org/10.1108/SASBE-07-2023-0170
goretti_bimoem_2023,article,"Goretti, Hannah A. and Kaming, Peter",A review and bibliometric analysis of utilizing building information modeling (BIM) on effective operation and maintenance (O\&M),2023,E3S Web of Conferences,429,,01002,10.1051/e3sconf/202342901002,https://doi.org/10.1051/e3sconf/202342901002
hu_revisao_sintese_2026,article,"Hu, Meilan and Koh, Paye Shin and Soh, Xun Ci and Hartanto, Andree and Majeed, Nadyanna M.",From review to synthesis: a step-by-step methodological guide to systematic reviews and multilevel meta-analyses,2026,Behavior Research Methods,58,7,197,10.3758/s13428-026-02961-x,https://doi.org/10.3758/s13428-026-02961-x
jiang_deduplicacao_regras_2014,article,"Jiang, Yu and Lin, Can and Meng, Weiyi and Yu, Clement and Cohen, Aaron M. and Smalheiser, Neil R.",Rule-based deduplication of article records from bibliographic databases,2014,Database,2014,,bat086,10.1093/database/bat086,https://doi.org/10.1093/database/bat086
kim_estimativacustoseducacional_2018,article,"Kim, Ji-Myong and Kim, Taehui and Yu, Yeong-Jin and Son, Kiyoung",Development of a maintenance and repair cost estimation model for educational buildings using regression analysis,2018,Journal of Asian Architecture and Building Engineering,17,2,307-312,10.3130/jaabe.17.307,https://doi.org/10.3130/jaabe.17.307
lateef_manutencaouniversidade_2010,article,"Lateef, Olanrewaju Abdul and Khamidi, Mohd Faris and Idrus, Arazi",Building maintenance management in a Malaysian university campuses: a case study,2010,Australasian Journal of Construction Economics and Building,10,1/2,76-89,,
maia_gestaoinformacaomanutencao_2016,article,"Maia, Barbara Lepca and Scheer, Sérgio and Freitas, Maria do Carmo Duarte",Manutenção predial: a prospecta de decisões a partir da gestão da informação,2016,Revista de Engenharia e Tecnologia,8,3,37-55,,
martins_custosmanutencaoses_2024,article,"Martins, Rafael Fernando Batista and Espejo, Márcia Maria dos Santos Bortolocci",Análise de custos de manutenção predial em uma universidade federal brasileira com uso do modelo de suavização exponencial simples,2024,ABCustos,19,1,79-98,10.47179/abcustos.v19i1.719,https://doi.org/10.47179/abcustos.v19i1.719
masmoudi_ahptopsis_2026,article,"Masmoudi, Malek and Alshamsi, Mohamed and Piya, Sujan and Gupta, Srikant",Contractors allocation for public building maintenance: a sustainable approach aligned with SDGs using AHP-TOPSIS and bi-objective optimization,2026,International Transactions in Operational Research,33,4,2535-2576,10.1111/itor.70022,https://doi.org/10.1111/itor.70022
morais_eficienciamanutencao_2023,article,"Morais, Lucas Salomão Rael de and Paula, Heber Martins de and Reis, Ricardo Prado Abreu",Promoção da eficiência da manutenção predial em edificações públicas: abordagem baseada em registros de ordens de serviço,2023,Paranoá,16,34,1-27,10.18830/issn.1679-0944.n34.2023.08,https://doi.org/10.18830/issn.1679-0944.n34.2023.08
