id_unico,titulo,ano,dimensao_identificada_leitura
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,economica
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,tecnica_operacional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,institucional
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,ciclo_de_vida
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,social
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,tecnica_operacional
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,institucional
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,ciclo_de_vida
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,ambiental
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,social
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,tecnica_operacional
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,ciclo_de_vida
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,ambiental
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,tecnica_operacional
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,institucional
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,energia
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,ambiental
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,social
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,institucional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,ambiental
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,tecnica_operacional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,institucional
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,energia
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,ciclo_de_vida
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,ambiental
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,tecnica_operacional
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,risco
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,energia
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,ciclo_de_vida
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,ambiental
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,social
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,tecnica_operacional
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,institucional
